# language_name:	Mro (Khimi)
# closest ISO 639-3:	cmr
# year_short:	scraped 2026
# year_long:	Not available
# title:	Mro (Khimi)
# URL:	https://www.bible.com/bible/2473
# copyright_short:	See bible.com for copyright information
# copyright_long:	Scraped from bible.com. See original source for copyright.
40001001	Neq la Jeishu Khristu iwn asien kthanq sran jo de. Ama la Davi he Abrahen iwn spa jo de.
40001002	Abrahen la Ize iwn ape, Ize la Jako iwn ape, Jako la Judaq he anaqpi je ji iwn ape jo de.
40001003	Judaq la Phare he Zare xini iwn ape jo de. Ama xini iwn anoi-oi la Tama jo de. Phare la Heizeron iwn ape, Heizeron la Aren iwn ape,
40001004	Aren la Aminada iwn ape, Aminada la Naqshun iwn ape, Naqshun la Salamon iwn ape,
40001005	Salamon la Bawza iwn ape, anoi-oi la Rahe jo de. Bawza la Obe iwn ape, anoi-oi la Ruta jo de. Obe la Jeishei iwn ape,
40001006	Jeishei la xandi Davi iwn ape jo de. Davi la Shawlamun iwn ape, anoi-oi la Urija iwn nuipui jo de.
40001007	Shawlamun la Rehobon iwn ape, Rehobon la Abija iwn ape, Abija la Asha iwn ape,
40001008	Asha la Jehoshapha iwn ape, Jehoshapha la Joran iwn ape, Joran la Uzija iwn ape,
40001009	Uzija la Jothan iwn ape, Jothan la Ahe iwn ape, Ahe la Heizeki iwn ape,
40001010	Heizeki la Manashei iwn ape, Manashei la Amo iwn ape, Amo la Joshi iwn ape,
40001011	Joshi la Jekhawni he anaqpi ji iwn ape jo de. Tneq ktiw me txieq ji la Isreila khimi ji gan nien ha Babeilun khoeq me mhenq by vi jo de.
40001012	Isreila ji Babeilun khoeq me on degan Jekhawni la Sheilatila iwn ape, Sheilatila la Zeirubabeila iwn ape,
40001013	Zeirubabeila la Abiju iwn ape, Abiju la Eilijakin iwn ape, Eilijakin la Azaw iwn ape,
40001014	Azaw la Zadu iwn ape, Zadu la Akin iwn ape, Akin la Eliju iwn ape,
40001015	Eliju la Eleiza iwn ape, Eleiza la Mathan iwn ape, Mathan la Jako iwn ape,
40001016	Jako la Jawshe iwn ape, Jawshe la Mari iwn naqpa jo de. Mari la Meishija naha kauq niwn Jeishu gan kapien niwn nuipuidi jo de.
40001017	Abrahen kon Davi mtaan de axui kamton niwn la xale mliq de on jo de. Davi kon Babeilun khimi ji Isreila ji gan Babeilun khoeq me mhenq niwn mtaan de axui kamton niwn la xale mliq de on jo de. Isreila ji Babeilun khoeq me thaw de niq kon Meishija kapien niwn mtaan de axui kamton niwn la xale mliq de on jo de.
40001018	Jeishu Khristu kapien niwn kthanq la nygy jo de. Jeishu iwn anoi-oi Mari la Jawshe he indon sha than Jawshe kma ha khe niwn nuipuidi jo de. Gadema ama xini la vaan de on hy ha y man degan Sepin Seryiw niwn Muiqxaq la Mari gan kyqli on he by de. Tynygy niwn gan Jawshe mny jo de.
40001019	Mari gan kma niwn Jawshe la khimi ghoi lonq de jo de. Dyde ama la Mari gan khimi ji maq me k'ja he de ne y de tkhoen dikshiq mnienq than ta jo de.
