# language_name:	Paite Chin
# closest ISO 639-3:	pck
# year_short:	scraped 2026
# year_long:	Not available
# title:	Paite Chin
# URL:	https://www.bible.com/bible/1870
# copyright_short:	See bible.com for copyright information
# copyright_long:	Scraped from bible.com. See original source for copyright.
01001001	Atung in Pathian in lei leh vante asiam hi.
01001002	Lei tuh lim leh mel nei lou in, avuak kia ahi a, tui thukpi tung mial in amial hi. Pathian Kha in tuite tung a-opkhum hi.
01001003	Pathian in, “Vak om hen,” achi a, huchi in vak ahong omta hi.
01001004	Pathian in vak a-en a, hoih asa hi. Huchi in Pathian in mial a pan vak akhenkheta hi.
01001005	Pathian in vak, “Sun” achi a, mial, “Zan” achi hi. Huchi in ani khatna ah nitaklam a-om a, zinglam leng a-om hi.
01001006	Pathian in, “Tuite kikal ah vansin om henla, huai in tuite a pan tuite khenkhia hen,” achi hi.
01001007	Pathian in vansin abawl a, vansin tung a tui omte a pan vansin nuai a tui omte akhenkhia a; huan huchibang ahong hita hi.
01001008	Pathian in vansin, “Van” achi hi. Huchi in ani nihna ah nitaklam a-om a, zinglam leng a-om hi.
01001009	Pathian in, “Van nuai a tuite mun khat ah omkhawm uh henla, gamkeu hong dawk hen,” achi a; huchibang ahong hita hi.
01001010	Pathian in gamkeu, “Lei” achi a; tui omkhawmte Tuipite achi hi. Pathian in huai a-en a, hoih asa hi.
01001011	Pathian in, “Lei in loupate, anteh chi neite, thei sing lei a amau chi omdan ding bang zel a gah, agah sung a chi omte omsak hen,” achi a, huchibang ahong hita hi.
01001012	Huchi in lei in loupate, anteh amau chi omdan ding bang a chi neite, sing amau chi omdan ding bang a gah, agah sung a chi omte a-omsak hi. Pathian in huai a-en a, hoih asa hi.
01001013	Huchi in ani thumna ah nitaklam a-om a, zinglam leng a-om hi.
01001014	Pathian in, “Sun leh zan khenna ding in vansin ah tanvakte om uhenla, huaite chiamtehnate, hunbite, nite leh kumte theihna hi uhen.
01001015	Lei tanvak ding in van a vansin ah vakte om uhen,” achi a, huchibang ahong hita hi.
01001016	Pathian in tanvak thupi nih abawl a; tanvak thupizaw pen sun a vaihawm ding in, tanvak thupi louzaw pen zan a vaihawm ding in abawl hi. Aksite leng abawl hi.
01001017	Pathian in huaite lei tanvak ding in van a vansin ah akoih a;
01001018	sun tung leh zan tung a vaihawm ding leh vak leh mial khen ding in. Huchi in Pathian in huai a-en a, hoih asa hi.
01001019	Huchi in ani lina ah nitaklam a-om a, zinglam leng a-om hi.
01001020	Pathian in, “Tuite'n thilsiam tang thei hinna neite tampi pawtsak uhenla, vasate leng leitung a vansin hawm heuhou ah leng uhen,” achi hi.
01001021	Pathian in ngapi liante asiam a, ganhing tang thei chiteng tui in apawtsak a, amaute chi omdan ding bang leh kha nei vasa chiteng amaute chi omdan ding bang in asiam hi. Pathian in huai a-en a, hoih asa hi.
01001022	Pathian in, “Chi tampi suang in hong pung unla, tuipi tuite dimsak unla, vasate leng lei ah pung uhen,” chi in avualzawl hi.
01001023	Huchi in ani ngana ah nitaklam a-om a, zinglam leng a-om hi.
01001024	Pathian in, “Lei in ganhing amau chi omdan ding bang chiat in; gante, bokvak a pai ganhingte, gamsate, amau chi omdan ding bang chiat in pawtsak uhen,” achi a; huan huchibang ahong hita hi.
01001025	Pathian in gamsa amau chi omdan ding bang chiat in, gante amau chi omdan ding bang chiat in, lei a thil bokvak a paite tengteng amau chi omdan ding bang chiat in abawl hi. Pathian in huai a-en a, hoih asa hi.
01001026	Pathian in, “I kibatpih in, eimah bang in mihing i bawl dia, tuipi a ngasate tung ah, tung a leng vasate tung ah, gante tung ah leh leitung tengteng tung ah thu i neisak ding,” achi hi.
01001027	Pathian in ama kibatpih in mihing asiam a, akibatpih mah in ahi asiam; pasal leh numei asiamta hi.
01001028	Pathian in amaute avualzawl hi. Pathian mah in akiang uah, “Chi tampi suang in hong pung unla, leitung luahdim unla, na thuthu un omsak un. Tuipi a ngasate tung ah, tung a leng vasate tung ah, thil hing leitung a bokvak a pai tengteng tung ah thu nei un,” achi hi.
01001029	Pathian mah in, “Ngai un, leitung tengteng a anteh chi nei om teng leh sing chiteng, sing chi nei gah omnate, ka hon pia hi; na an ding uh ahi.
01001030	Lei a gamsa chiteng kiang ah, tung a leng vasa chiteng kiang ah, leitung a bokvak a pai chiteng kiang ah, hinna nei chiteng kiang ah a-an ding un loupa hing chiteng ka pia hi,” achi a; huan huchibang ahong hita hi.
01001031	Pathian in athilsiam tengteng a-en a, ngai in, hoih asa mahmah hi. Huchi in ani gukna ah nitaklam a-om a, zinglam leng a-om hi.
01002001	Huan lei leh vante leh asung a om tengteng siam zoh ahita hi.
01002002	Pathian in ani sagih ni in anasep azou a; huchi in ani sagih ni in anasep tengteng akhawlsanta hi.
01002003	Huai ni a Pathian in asiam leh abawl, anasep tengteng akhawlsan tak ziak in, Pathian in ani sagih ni vualzawl in, atangta hi.
01002004	Toupa Pathian in lei leh vante asiam ni a, lei leh vante siam ahih ua akisuansawndan uh hiai bang ahi.
01002005	Leitung ah gamlak loupa himhim a-om nai kei a, sing-le-louhing leng apou nai kei hi. Toupa Pathian in leitung ah vuah azusak nai kei a, lei let ding in mihing leng a-om nai kei hi.
01002006	Himahleh lei a pan tuihu ahong pawttou a, leitung tengteng anomsak hi.
01002007	Toupa Pathian in lei a leivui in mi abawl a, anakvangte ah hinna hu ahalut a; huai mi, hinna nei mihing ahong hita hi.
01002008	Toupa Pathian in suahlam a Eden ah huan abawl a; huai ah abawl pasal a-omsak hi.
01002009	Toupa Pathian in lei a kipan sing mit hiptak leh nek tuak chiteng apousak hi. Hinna sing leh asia leh apha theihna sing leng huan laizang ah apousak hi.
01002010	Eden a pan huan nomsak ding in lui aluang paisuak a; huai a kipan akazak a, ka li ahong hita hi.
01002011	Akhatna min Pishon ahi a, hiai Havilah gam tengteng kualkhum lui ahi a; huai dangka-eng omna ahi.
01002012	Huai gam a dangka-eng hoihtak ahi a, huai ah bedeli leh onik suang leng a-om hi.
01002013	Lui nihna min Gihon ahi a; huai lui in Kush gam tengteng akualkhum hi.
01002014	Lui thumna min Hiddekel ahi a; hiai Assuria gam suahlam a luang ahi. Lui lina bel Euphrates ahi.
01002015	Toupa Pathian in pasal api a, Eden huan ah akem ding leh aveng ding in akoihta hi.
01002016	Toupa Pathian in pasal kiang ah, “Huan a singgah chiteng na ut-ut na ne thei hi.
01002017	Asia leh apha theihna singgah bel na ne ding ahi kei. Na nekleh na nek ni mah in na si ngeingei ding hi,” chi in thu apia hi.
01002018	Toupa Pathian in, “Pasal amah kia a-om ahoih kei. Amah panpihtu dia kilawm ka bawlsak ding,” achi hi.
01002019	Toupa Pathian in leitung a kipan gamsa chiteng leh tung a leng vasa chiteng abawl hi. Amin ding ua bang sak ding ahia chih theihna ding in Adam kiang ah apikhawm hi. Ganhing chiteng amin uh Adam in ana phuah, huai amin uh ahi denta hi.
01002020	Adam in ganhing tengteng, tung a leng vasa tengteng leh gamsa chiteng min aphuak chiat hi. Himahleh Adam panpihtu ding muh in a-om kei hi.
01002021	Toupa Pathian in nuamtak in Adam a-ihmusak a, huchi in a-ihmuta a; anakguh khat alakhia a, alakkhiakna mun sa in adimsak hi.
01002022	Toupa Pathian in Adam a pan alak nakguh a kipan in numei abawl a, Adam kiang ah apita hi.
01002023	Adam in, “Hiai pen zaw ka guh a kipan guh, ka sa a kipan sa ahi. Pasal a kipan lakkhiak ahih ziak in, Numei, chih ding ahi,” achi hi.
01002024	Huaiziak in pasal in anu leh apa apaisan ding a, azi ah abelh ding. Huchi in sa khat ahong hita ding uh.
01002025	Adam leh azi vuaktang ahi tuak ua, azum tuan kei uhi.
01003001	Huan Toupa Pathian in gamsa abawl tengteng lak ah gul agitlouhpil pen hi. Ama'n numei kiang ah, “Pathian in, ‘Huan a singgah himhim na ne ding uh ahi kei chi ahi maw?’ ” achi hi.
01003002	Numei in gul kiang ah, “Chi lou e, huan a singgahte ne thei mah ung,
01003003	himahleh huan laizang a singgah pen ahihleh Pathian in, ‘Na ne ding uh ahi kei, khoih leng na khoih ding uh ahi kei, huchi lou in zaw na si ding uh chi aka,’ ” achi hi.
01003004	Gul in numei kiang ah, “Si zenzen lou e.
01003005	Na nek ni ua pat na mit uh ahong vak dia, asia leh apha thei in Pathian na hong bang ding uh, chih Pathian in thei kilkel ei ve,” achi hi.
01003006	Numei in singgah nek theih ahi chih leh mit hiptak ahi chih leh mi pilsak ding a singgah etlahhuai ahi, chih atheih in agah alou a, aneta hi. Akiang a om apasal leng apia a, ama'n leng aneta hi.
01003007	Anih un amit uh ahong vakta a, vuaktang ahih lam uh hong kithei ua; theipi nah khuikhawm in, puan akibawltawm uhi.
01003008	Toupa Pathian, nitaklam ninem a huan a vak thawmging aza ua; Adam leh azi in huan a sing lak ah Toupa Pathian ana kibuksan uhi.
01003009	Toupa Pathian in Adam asam a, akiang ah, “Koi a om na hia?” achi hi.
01003010	Ama'n, “Huan ah na thawmging ka za a, vuaktang ka hih ziak in ka lau a; ka na kibuta,” achi hi.
01003011	Ama'n, “Vuaktang na hih kua'n hon hilh ahia? Singgah nek louh ding ka chih ne na hita maw?” achi hi.
01003012	Adam in, “Hon ompih dia na hon piak numei in singgah hon pia a, ka neta hi,” achi hi.
01003013	Toupa Pathian in numei kiang ah, “Na thilhih bangchidan ahia?” achi hi. Numei in, “Gul in hon zekhem a, ka neta hi,” achi hi.
01003014	Toupa Pathian in gul kiang ah, “Hichibang a na hih ziak in ganhing tengteng leh gamsa chiteng lak ah hamsiat na hi tuanse ding a, bokvak in na pai gigeta ding a, na damsung in leivui na neta ding.
01003015	Nang leh numei ka hon kidousak ding a, na suante leh asuante leng ka kidousak lai ding. Huai in na lutang asidupsak ding a, nang akhetul na sidupsak ding,” achi hi.
01003016	Numei kiang ah, “Na haksatna leh na naupaina nakpi in ka pungsak ding a; haksatak in tate na nei ding. Huan na lunggulh na pasal a ahi ding a, ama'n na tung ah thu anei ding,” achi hi.
