surface_form	normalized_form	segmentation	alt_segmentations	gloss	lemma	alt_lemmas	pos	alt_pos	confidence	first_verse	frequency	review_reasons	status
A	a	A	a|a'	3SG	a		FUNC		high	01001001	76437	multi_segmentation:3	auto_resolved
hi	hi	hi	Hi|hi'	DECL	hi		V		high	01001001	44315	multi_segmentation:3|known_polysemous	auto_resolved
in	in	in		ERG	in		FUNC		high	01001001	27643	known_polysemous	auto_resolved
uh	uh	uh	uh'	2/3PL	uh		FUNC		high	01001015	22115	multi_segmentation:2	auto_resolved
ding	ding	ding	Ding	IRR	ding		V		high	01001016	19253	multi_segmentation:2|known_polysemous	auto_resolved
na	na	na	Na|na'	2SG	na		FUNC		high	01001002	16769	multi_segmentation:3|known_polysemous	auto_resolved
hong	hong	hong	Hong	3→1	hong		V		high	01001005	15492	multi_segmentation:2|known_polysemous	auto_resolved
ka	ka	ka	Ka	1SG	ka		FUNC		high	01001030	13431	multi_segmentation:2	auto_resolved
tua	tua	tua	Tua	that	tua		FUNC		high	01001002	12528	multi_segmentation:2	auto_resolved
ciangin	ciangin	ciang-in		then-ERG	ciang		UNK		high	01001003	9994	pos_unknown	needs_review
ahi	ahi	ahi	Ahi	be.3SG	ahi		V		high	01001002	8594	multi_segmentation:2	auto_resolved
tawh	tawh	tawh		COM	tawh		FUNC		high	01002007	7806	known_polysemous	auto_resolved
Topa	topa	Topa	Topa'|topa|topa'	Lord	topa		N		high	01002004	7756	multi_segmentation:4	auto_resolved
mite	mite	mi-te	Mite|Mite'|mite'	person-PL	mi	Mite|mite	N	PROP|UNK	high	01004026	7200	multi_segmentation:4|multi_lemma:3|multi_pos:N|PROP|UNK	needs_review
kei	kei	kei	Kei|Kei'|kei'	NEG	kei		FUNC		high	01002017	6995	multi_segmentation:4	auto_resolved
lo	lo	lo	Lo	NEG	lo		FUNC		high	01002005	6330	multi_segmentation:2	auto_resolved
amah	amah	amah	Amah	3SG.PRO	amah		FUNC		high	01001016	6269	multi_segmentation:2	auto_resolved
amaute	amaute	amaute	Amaute|Amaute'|amaute'	3PL.PRO	amaute		FUNC		high	01001022	6184	multi_segmentation:4	auto_resolved
ci	ci	ci	Ci	say	ci		V		high	01001003	5971	multi_segmentation:2	auto_resolved
thu	thu	thu	Thu	word	thu		N		high	01002016	5821	multi_segmentation:2	auto_resolved
ahih	ahih	ahih	Ahih	be.3SG.REL	ahih		V		high	01001021	5751	multi_segmentation:2	auto_resolved
Pasian	pasian	Pasian	Pasian'|pasian|pasian'	God	pasian		N		high	01001001	5619	multi_segmentation:4	auto_resolved
khempeuh	khempeuh	khempeuh	khempeuh'	all	khempeuh		FUNC		high	01001021	5190	multi_segmentation:2	auto_resolved
om	om	om	Om	exist	om		V		high	01001003	5120	multi_segmentation:2	auto_resolved
hih	hih	hih	Hih	this	hi		V		high	01002023	5033	multi_segmentation:2	auto_resolved
mi	mi	mi	Mi|Mi'|mi'	person	mi		N		high	01002005	4775	multi_segmentation:4	auto_resolved
pen	pen	pen	Pen|pen'	TOP	pen		FUNC		high	01001005	4750	multi_segmentation:3	auto_resolved
khat	khat	khat	Khat|Khat'|khat'	one	khat		N		high	01001005	4651	multi_segmentation:4|known_polysemous	auto_resolved
hiam	hiam	hiam	Hiam	Q	hiam		FUNC		high	01002003	4356	multi_segmentation:2	auto_resolved
ama	ama	ama	Ama|ama'	3SG.POSS	ama	Ama	UNK	PROP	high	01001027	4306	multi_segmentation:3|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	needs_review
Bang	bang	Bang	bang	like	bang		FUNC		high	01002003	4033	multi_segmentation:2|known_polysemous	auto_resolved
note	note	note	Note|Note'|note'	2PL.PRO	note		FUNC		high	01001029	3876	multi_segmentation:4	auto_resolved
zong	zong	zong	Zong	also	zong		FUNC		high	01001016	3507	multi_segmentation:2	auto_resolved
un	un	un	un'	IMP.PL	un		FUNC		high	01001028	2832	multi_segmentation:2	auto_resolved
gam	gam	gam	Gam|gam'	land	gam		N		high	01002005	2787	multi_segmentation:3	auto_resolved
pa	pa	pa	Pa|Pa'|pa'	father	pa		N		high	01002024	2703	multi_segmentation:4	auto_resolved
thei	thei	thei	Thei	know	thei		V		high	01001021	2579	multi_segmentation:2|known_polysemous	auto_resolved
gen	gen	gen	Gen	speak	gen		V		high	01003011	2425	multi_segmentation:2	auto_resolved
pai	pai	pai	Pai	go	pai		V		high	01003014	2386	multi_segmentation:2	auto_resolved
hang	hang	hang	Hang	reason	hang		FUNC		high	01002003	2326	multi_segmentation:2	auto_resolved
aw	aw	aw	Aw	voice	aw		N		high	01004023	2262	multi_segmentation:2	auto_resolved
pia	pia	pia	Pia	give	pia		V		high	01001022	2209	multi_segmentation:2	auto_resolved
tapa	tapa	tapa'	Tapa'|ta-pa	son.POSS	tapa	ta	N		high	01004017	2188	multi_segmentation:3|multi_lemma:2	needs_review
Nang	nang	Nang	Nang'|nang|nang'	2SG.PRO	nang		FUNC		high	01003015	2058	multi_segmentation:4	auto_resolved
Israel	israel	Israel	Israel'	ISRAEL	Israel	israel	PROP	UNK	high	01032028	2007	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
kong	kong	kong	Kong	1SG→3	kong		FUNC		high	01001029	1978	multi_segmentation:2	auto_resolved
kumpipa	kumpipa	kumpi-pa	Kumpipa'|kumpipa'	king-male	kumpi	kumpipa	N		high	01014001	1852	multi_segmentation:3|multi_lemma:2	needs_review
amau	amau	amau'	Amau|Amau'|amau	3PL.PRO.POSS	amau		FUNC		high	01001011	1841	multi_segmentation:4	auto_resolved
