sense_id	lemma	sense_num	pos	gloss	frequency	is_primary	is_grammatical	inflected_forms	example_verses	notes
hi.1	hi	1	FUNC	DECL	47708	1	1	hi	01001001|01001002|01001002	
hi.2	hi	2	V	DECL	6782	0	0			
hi.3	hi	3	FUNC	3SG	283	0	1			
hi.4	hi	4	FUNC	1PL.INCL	206	0	1			
hi.5	hi	5	FUNC	REFL	38	0	1			
hi.6	hi	6	FUNC	1SG	6	0	1			
hi.7	hi	7	FUNC	DECL.POSS	1	0	1			
ding.1	ding	1	FUNC	IRR	24295	1	1	ding	01001014|01001015|01001016	
ding.2	ding	2	FUNC	2SG	683	0	1			
ding.3	ding	3	V	IRR	228	0	0			
ding.4	ding	4	FUNC	3SG	13	0	1			
ding.5	ding	5	FUNC	REFL	4	0	1			
hong.1	hong	1	V	DIR	15578	1	0	hong	01001005|01001005|01001008	
mi.1	mi	1	N	person	13409	1	0	mi	01001026|01001027|01002005	
mi.2	mi	2	N	idol	375	0	0			
mi.3	mi	3	N	mankind	3	0	0			
mi.4	mi	4	N	hatred	2	0	0			
mi.5	mi	5	N	noble	1	0	0			
mi.6	mi	6	N	righteous	1	0	0			
mi.7	mi	7	N	everyone	1	0	0			
ci.1	ci	1	V	say	11914	1	0	ci	01001003|01001004|01001005	
ci.2	ci	2	FUNC	REFL	29	0	1			
thu.1	thu	1	N	word	10746	1	0	thu	01001022|01001028|01002003	
thu.2	thu	2	FUNC	REFL	25	0	1			
ciang.1	ciang	1	N	then	10590	1	0	ciang	01001003|01001021|01001026	
ciang.2	ciang	2	FUNC	REFL	20	0	1			
ciang.3	ciang	3	N	measure	8	0	0			
ciang.4	ciang	4	N	clear	7	0	0			
ciang.5	ciang	5	N	weave	5	0	0			
ciang.6	ciang	6	N	become	4	0	0			
ciang.7	ciang	7	N	way	3	0	0			
ciang.8	ciang	8	N	good	3	0	0			
ciang.9	ciang	9	N	announce	2	0	0			
ciang.10	ciang	10	N	time	2	0	0			
ahi.1	ahi	1	V	be.3SG	8634	1	0	ahi	01001002|01001005|01001008	
tung.1	tung	1	V	on	8219	1	0	tung	01001002|01001002|01001005	
tung.2	tung	2	FUNC	REFL	3	0	1			
topa.1	topa	1	N	Lord	5640	1	0	Topa	01002004|01002005|01002007	
topa.2	topa	2	N	lord	2256	0	0			
om.1	om	1	V	exist	6763	1	0	om	01001003|01001003|01001006	
om.2	om	2	FUNC	REFL	11	0	1			
om.3	om	3	FUNC	1SG	8	0	1			
pasian.1	pasian	1	N	God	3851	1	0	Pasian	01001001|01001003|01001004	
pasian.2	pasian	2	N	god	2094	0	0	Pasian'	01001002	
pai.1	pai	1	V	go	5793	1	0	pai	01002019|01002022|01003008	
pai.2	pai	2	FUNC	REFL	28	0	1			
ahih.1	ahih	1	V	be.NOM	5804	1	0	ahih	01001021|01001027|01002001	
pan.1	pan	1	FUNC	ABL	4943	1	1	pan	01001004|01001016|01002002	
pan.2	pan	2	FUNC	REFL	414	0	1	ki	01004026	
pan.3	pan	3	V	ABL	327	0	0	ki	01004026|01006001	
pan.4	pan	4	FUNC	ABL.POSS	2	0	1			
khat.1	khat	1	N	one	5563	1	0	khat	01001005|01001009|01002008	
thei.1	thei	1	V	know	4636	1	0	thei|theih	01001021|01002009|01002016	
