kc_word	kc_freq	eng_gloss	pmi_score	pair_count	confidence	rank
Abarim	4	land	3.9146	3	0.5872	1
Abarim	4	child	3.9146	3	0.5872	2
Abarim	4	israel	3.3303	3	0.4995	3
Abba	3	father	4.5349	3	0.9070	1
Abdi	3	son	3.6490	3	0.7298	1
Abdon	8	abdon	11.6664	7	0.8750	1
Abdon	8	son	2.9709	5	0.3714	2
Abednego	11	shadrach	11.0517	11	1.0000	1
Abednego	11	ab	11.0517	11	1.0000	2
Abednego	11	meshach	11.0517	11	1.0000	3
Abednego	11	nego	11.0517	11	1.0000	4
Abednego	11	nebuchadnezzar	7.9142	5	0.4545	5
Abel	20	abel	10.3767	17	0.8500	1
Abel	20	cain	8.9522	6	0.3000	2
Abel	20	beth	5.3833	5	0.2500	3
Abel	20	slay	4.0485	5	0.2024	4
Abel	20	maachah	7.8002	3	0.1500	5
Abiathar	27	abiathar	9.9972	26	0.9630	1
Abiathar	27	priest	4.9304	21	0.7670	2
Abiathar	27	zadok	8.3127	13	0.4815	3
Abiathar	27	son	2.8010	15	0.3112	4
Abiathar	27	david	3.4055	8	0.2018	5
Abib	5	abib	12.5371	5	1.0000	1
Abib	5	month	6.7957	4	0.8000	2
Abib	5	seven	5.6709	3	0.6000	3
Abib	5	egypt	5.0453	3	0.6000	4
Abib	5	keep	5.0006	3	0.6000	5
Abiezer	9	abi	11.1042	4	0.4444	1
Abiezer	9	gideon	8.4797	4	0.4444	2
Abiezer	9	ophrah	10.2741	3	0.3333	3
Abiezer	9	son	2.0640	3	0.1376	4
Abiezer	9	lord	0.5841	3	0.0177	5
Abigail	17	abigail	10.5651	13	0.7647	1
Abigail	17	wife	4.9902	8	0.4697	2
Abigail	17	david	4.2428	9	0.4492	3
Abigail	17	ahinoam	10.1866	4	0.2353	4
Abigail	17	nabal	8.9642	4	0.2353	5
Abihail	6	abihail	12.2741	6	1.0000	1
Abihail	6	daughter	4.9165	3	0.4917	2
Abihail	6	son	2.6490	3	0.2649	3
Abihu	12	abihu	11.2741	12	1.0000	1
Abihu	12	nadab	10.5371	12	1.0000	2
Abihu	12	aaron	6.4062	10	0.8333	3
Abihu	12	ithamar	10.0262	8	0.6667	4
Abihu	12	eleazar	8.2080	8	0.6667	5
Abijah	33	abijah	9.8147	16	0.4848	1
Abijah	33	jeroboam	6.7663	11	0.3333	2
Abijah	33	reign	4.9457	9	0.2698	3
Abijah	33	son	2.5115	15	0.2283	4
Abijah	33	rehoboam	6.8147	5	0.1515	5
Abimelek	55	abimelech	8.9476	53	0.9636	1
Abimelek	55	shechem	7.4103	17	0.3091	2
Abimelek	55	abraham	4.3703	8	0.1271	3
Abimelek	55	jerubbaal	7.9622	6	0.1091	4
Abimelek	55	gaal	8.2297	5	0.0909	5
Abinadab	7	abinadab	11.2741	7	1.0000	1
Abinadab	7	saul	5.7434	4	0.5714	2
Abinadab	7	shua	10.6367	3	0.4286	3
Abinadab	7	jesse	8.2791	3	0.4286	4
Abinadab	7	jonathan	7.0367	3	0.4286	5
Abinoam	3	barak	11.1586	3	1.0000	1
