kc_word	kc_freq	eng_gloss	pmi_score	pair_count	confidence	rank
Aaron	328	and	0.2984	310	0.9451	1
Aaron	328	the	0.2741	307	0.9360	2
Aaron	328	aaron	6.3861	272	0.8293	3
Aaron	328	of	0.3603	244	0.7439	4
Aaron	328	he	0.3362	176	0.5366	5
Aatthlakza	3	do	3.4073	3	1.0000	1
Abarim	7	and	0.3798	7	1.0000	1
Abarim	7	abarim	12.0777	6	0.8571	2
Abarim	7	in	1.4676	6	0.8571	3
Abarim	7	the	0.1471	6	0.8571	4
Abarim	7	pitch	7.8918	5	0.7143	5
Abba	3	father	4.5308	3	1.0000	1
Abba	3	you	1.5420	3	1.0000	2
Abdi	3	son	3.6118	3	1.0000	1
Abdi	3	and	0.3798	3	1.0000	2
Abdi	3	the	0.3695	3	1.0000	3
Abdon	8	and	0.3798	8	1.0000	1
Abdon	8	abdon	11.6924	7	0.8750	2
Abdon	8	son	2.9337	5	0.6250	3
Abdon	8	he	0.2343	4	0.5000	4
Abednego	11	ab	11.0777	11	1.0000	1
Abednego	11	nego	11.0777	11	1.0000	2
Abednego	11	shadrach	11.0777	11	1.0000	3
Abednego	11	meshach	11.0777	11	1.0000	4
Abednego	11	and	0.3798	11	1.0000	5
Abel	19	and	0.3798	19	1.0000	1
Abel	19	abel	10.3322	17	0.8947	2
Abel	19	of	0.5392	16	0.8421	3
Abel	19	the	0.1216	16	0.8421	4
Abel	19	he	0.5713	12	0.6316	5
Abiathar	29	the	0.3189	28	0.9655	1
Abiathar	29	abiathar	9.9746	27	0.9310	2
Abiathar	29	and	0.2767	27	0.9310	3
Abiathar	29	of	0.4527	23	0.7931	4
Abiathar	29	priest	4.8195	21	0.7241	5
Abib	6	the	0.3695	6	1.0000	1
Abib	6	abib	12.3001	5	0.8333	2
Abib	6	month	6.8211	5	0.8333	3
Abib	6	in	1.4269	5	0.8333	4
Abib	6	you	1.2789	5	0.8333	5
Abidan	4	of	0.7872	4	1.0000	1
Abidan	4	the	0.3695	4	1.0000	2
Abiel	3	be	0.8477	3	1.0000	1
Abiel	3	the	0.3695	3	1.0000	2
Abiezer	9	and	0.2099	8	0.8889	1
Abiezer	9	the	0.1996	8	0.8889	2
Abiezer	9	be	0.4852	7	0.7778	3
Abiezer	9	of	0.2022	6	0.6667	4
Abiezer	9	he	0.3863	5	0.5556	5
Abigail	20	and	0.3058	19	0.9500	1
Abigail	20	the	0.2175	18	0.9000	2
Abigail	20	of	0.5527	17	0.8500	3
Abigail	20	abigail	10.4700	15	0.7500	4
Abigail	20	he	0.4973	12	0.6000	5
Abihail	6	abihail	12.3001	6	1.0000	1
Abihail	6	of	0.7872	6	1.0000	2
Abihail	6	the	0.3695	6	1.0000	3
Abihail	6	and	0.1168	5	0.8333	4
Abihail	6	be	0.2628	4	0.6667	5
Abihu	12	abihu	11.3001	12	1.0000	1
Abihu	12	nadab	10.5631	12	1.0000	2
Abihu	12	and	0.3798	12	1.0000	3
Abihu	12	aaron	6.3932	10	0.8333	4
Abihu	12	the	0.1065	10	0.8333	5
Abijah	34	and	0.2466	31	0.9118	1
Abijah	34	the	0.0894	28	0.8235	2
Abijah	34	of	0.4546	27	0.7941	3
Abijah	34	he	0.6063	22	0.6471	4
Abijah	34	be	0.0082	19	0.5588	5
Abimelek	60	abimelech	8.8786	56	0.9333	1
Abimelek	60	and	0.2803	56	0.9333	2
Abimelek	60	he	0.7197	42	0.7000	3
Abimelek	60	of	0.2378	41	0.6833	4
Abimelek	60	that	0.2544	23	0.3833	5
Abinadab	10	abinadab	11.3001	10	1.0000	1
Abinadab	10	and	0.3798	10	1.0000	2
Abinadab	10	the	0.0476	8	0.8000	3
Abinadab	10	he	0.4973	6	0.6000	4
Abinadab	10	saul	5.5363	5	0.5000	5
Abinoam	4	barak	11.1846	4	1.0000	1
Abinoam	4	son	3.6118	4	1.0000	2
Abinoam	4	of	0.7872	4	1.0000	3
Abinoam	4	and	0.3798	4	1.0000	4
Abiram	9	of	0.7872	9	1.0000	1
Abiram	9	and	0.3798	9	1.0000	2
Abiram	9	the	0.3695	9	1.0000	3
Abiram	9	abiram	11.7151	8	0.8889	4
Abiram	9	dathan	11.7151	7	0.7778	5
Abishag	6	and	0.3798	6	1.0000	1
Abishag	6	the	0.3695	6	1.0000	2
Abishag	6	abishag	12.3001	5	0.8333	3
Abishag	6	shunammite	11.6220	5	0.8333	4
Abishag	6	king	3.6642	5	0.8333	5
Abishai	30	and	0.3309	29	0.9667	1
Abishai	30	the	0.2700	28	0.9333	2
Abishai	30	of	0.5807	26	0.8667	3
Abishai	30	abishai	9.9167	23	0.7667	4
Abishai	30	he	0.4973	18	0.6000	5
Abishua	4	abishua	12.5631	4	1.0000	1
Abishua	4	phineha	10.0106	3	0.7500	2
Abishua	4	eleazar	8.3407	3	0.7500	3
Abner	52	and	0.3798	52	1.0000	1
Abner	52	the	0.2838	49	0.9423	2
Abner	52	abner	9.0953	47	0.9038	3
Abner	52	he	0.6632	35	0.6731	4
Abner	52	of	0.1742	34	0.6538	5
Abraham	253	and	0.1584	217	0.8577	1
Abraham	253	abraham	6.7894	197	0.7787	2
Abraham	253	of	0.0803	155	0.6126	3
Abraham	253	be	0.0644	147	0.5810	4
Abraham	253	he	0.3806	140	0.5534	5
Abram	57	and	0.3018	54	0.9474	1
Abram	57	abram	8.8861	41	0.7193	2
Abram	57	be	0.2243	37	0.6491	3
Abram	57	he	0.4458	33	0.5789	4
Abram	57	unto	0.8661	25	0.4386	5
Absalom	89	and	0.3135	85	0.9551	1
Absalom	89	absalom	8.2838	77	0.8652	2
Absalom	89	the	0.0435	71	0.7978	3
Absalom	89	he	0.4310	51	0.5730	4
Absalom	89	to	0.7101	46	0.5169	5
Acozah	15	and	0.3798	15	1.0000	1
Acozah	15	they	0.7159	8	0.5333	2
Acozah	15	to	0.5627	7	0.4667	3
Acozah	15	say	0.6261	5	0.3333	4
Acozah	15	unto	0.4701	5	0.3333	5
Adah	8	adah	11.8850	8	1.0000	1
Adah	8	of	0.5945	7	0.8750	2
Adah	8	and	0.1872	7	0.8750	3
Adah	8	be	0.1697	5	0.6250	4
Adah	8	eliphaz	10.4256	4	0.5000	5
Adaiah	9	of	0.7872	9	1.0000	1
Adaiah	9	the	0.3695	9	1.0000	2
Adaiah	9	and	0.2099	8	0.8889	3
Adaiah	9	adaiah	11.7151	7	0.7778	4
Adaiah	9	son	3.2492	7	0.7778	5
Adam	19	adam	9.7891	15	0.7895	1
Adam	19	be	0.0592	11	0.5789	2
Adam	19	man	1.4031	6	0.3158	3
Adam	19	from	1.3764	5	0.2632	4
Adam	19	god	0.9889	5	0.2632	5
Adar	9	adar	11.5631	9	1.0000	1
Adar	9	month	7.0841	9	1.0000	2
Adar	9	day	3.7850	9	1.0000	3
Adar	9	of	0.7872	9	1.0000	4
Adar	9	the	0.3695	9	1.0000	5
Addar	6	and	0.3798	6	1.0000	1
Addar	6	the	0.3695	6	1.0000	2
Addar	6	to	1.3992	5	0.8333	3
Addar	6	of	0.5241	5	0.8333	4
Addar	6	border	7.0147	4	0.6667	5
Adiel	3	be	0.8477	3	1.0000	1
Adiel	3	the	0.3695	3	1.0000	2
Adin	4	of	0.7872	4	1.0000	1
Adin	4	the	0.3695	4	1.0000	2
Adin	4	nehemiah	11.4700	3	0.7500	3
Adin	4	with	2.2526	3	0.7500	4
Adin	4	be	0.4327	3	0.7500	5
Admah	5	admah	12.5631	5	1.0000	1
Admah	5	be	0.8477	5	1.0000	2
Admah	5	gomorrah	10.3152	4	0.8000	3
Admah	5	sodom	9.0085	4	0.8000	4
Admah	5	of	0.4652	4	0.8000	5
Adonibezek	3	adoni	12.5631	3	1.0000	1
Adonibezek	3	bezek	12.5631	3	1.0000	2
Adonibezek	3	they	1.6228	3	1.0000	3
Adonibezek	3	he	1.2343	3	1.0000	4
Adonibezek	3	and	0.3798	3	1.0000	5
Adonijah	28	and	0.3798	28	1.0000	1
Adonijah	28	the	0.2060	25	0.8929	2
Adonijah	28	adonijah	10.0135	22	0.7857	3
Adonijah	28	he	0.8193	21	0.7500	4
Adonijah	28	say	1.2111	14	0.5000	5
Adonikam	3	with	2.6677	3	1.0000	1
Adonikam	3	of	0.7872	3	1.0000	2
Adonikam	3	the	0.3695	3	1.0000	3
Adoniram	5	over	5.1452	5	1.0000	1
Adoniram	5	be	0.8477	5	1.0000	2
Adoniram	5	and	0.3798	5	1.0000	3
Adoniram	5	the	0.3695	5	1.0000	4
Adoniram	5	tribute	9.7051	4	0.8000	5
Adrammelek	3	god	2.9149	3	1.0000	1
Adrammelek	3	in	1.6900	3	1.0000	2
Adrammelek	3	to	1.6622	3	1.0000	3
Adrammelek	3	they	1.6228	3	1.0000	4
Adrammelek	3	of	0.7872	3	1.0000	5
Adullam	11	and	0.0903	9	0.8182	1
Adullam	11	adullam	11.4256	8	0.7273	2
Adullam	11	of	0.1351	7	0.6364	3
Adullam	11	to	0.7878	6	0.5455	4
Adullam	11	go	2.2512	5	0.4545	5
Aenias	3	he	1.2343	3	1.0000	1
Aenias	3	and	0.3798	3	1.0000	2
Afek	9	aphek	11.7151	8	0.8889	1
Afek	9	the	0.1996	8	0.8889	2
Afek	9	of	0.4246	7	0.7778	3
Afek	9	and	0.0173	7	0.7778	4
Afek	9	to	0.8142	5	0.5556	5
Agag	11	and	0.3798	11	1.0000	1
Agag	11	the	0.3695	11	1.0000	2
Agag	11	of	0.6497	10	0.9091	3
Agag	11	king	3.4678	8	0.7273	4
Agag	11	he	0.5822	7	0.6364	5
Agrippa	13	agrippa	11.0591	11	0.8462	1
Agrippa	13	be	0.3172	9	0.6923	2
Agrippa	13	king	3.2268	8	0.6154	3
Agrippa	13	unto	1.3547	8	0.6154	4
Agrippa	13	you	0.6489	7	0.5385	5
Ahab	116	the	0.2929	110	0.9483	1
Ahab	116	and	0.2633	107	0.9224	2
Ahab	116	of	0.5141	96	0.8276	3
Ahab	116	he	0.6617	78	0.6724	4
Ahab	116	ahab	7.7533	67	0.5776	5
Ahava	3	river	7.1503	3	1.0000	1
Ahava	3	we	3.6610	3	1.0000	2
Ahava	3	to	1.6622	3	1.0000	3
Ahava	3	of	0.7872	3	1.0000	4
Ahava	3	and	0.3798	3	1.0000	5
Ahaz	44	the	0.1580	38	0.8636	1
Ahaz	44	ahaz	9.2695	35	0.7955	2
Ahaz	44	and	0.0497	35	0.7955	3
Ahaz	44	of	0.3721	33	0.7500	4
