kc_word	kc_freq	eng_gloss	pmi_score	pair_count	confidence	rank
Aa	31	righteou	5.1125	5	11.4318	1
Abraham	69	abraham	6.6813	58	50.8832	1
Abraham	69	isaac	6.3762	13	22.9897	2
Abraham	69	jacob	5.5826	10	17.6538	3
Abraham	69	abraham'	6.8457	5	15.3074	4
Abraham	69	se	4.6047	11	15.2719	5
Abyi	9	lord	3.2363	7	8.5624	1
Abyipa	482	lord	3.3725	412	68.4534	1
Abyipa	482	lord'	3.4133	11	11.3206	2
Abyipa	482	sir	3.1933	10	10.0981	3
Abyipa	482	almighty	3.6787	7	9.7330	4
Abyipa	482	david	2.1207	14	7.9351	5
Abyipa'a	29	lord	3.3258	24	16.2932	1
Abyipa'a	29	thi	0.8616	5	1.9267	2
Adam	8	adam	9.9542	7	26.3363	1
Adangna	6	righteousness	6.2154	5	13.8981	1
Agrippa	11	agrippa	9.3692	11	31.0742	1
Agrippa	11	king	5.3793	6	13.1765	2
Ahling	5	thorn	9.1468	5	20.4530	1
Ahung	29	thi	1.5397	8	4.3550	1
Ahung	29	man	0.9851	8	2.7862	2
Ahung	29	jesu	0.8185	6	2.0050	3
Ahunghmuo	29	whosoever	4.8790	10	15.4287	1
Ahunghmuo	29	man	1.6855	13	6.0772	2
Ahunghmuota	10	man	2.3285	7	6.1606	1
Ahungma	36	christ	1.5665	7	4.1445	1
Ahungma	36	jesu	1.0916	9	3.2747	2
Ahungma	36	know	1.1578	5	2.5890	3
Ahungma	36	thi	0.5497	5	1.2292	4
Ahungtahmuo	27	man	2.7320	25	13.6601	1
Ahungtahmuo	27	neither	2.9065	5	6.4992	2
Ahungtahmuo	27	god	0.5639	6	1.3752	3
Akhaia	10	achaia	9.4948	10	30.0251	1
Akhaia	10	macedonia	7.3692	5	16.4781	2
Akuila	6	aquila	10.3692	6	25.3993	1
Akuila	6	priscilla	10.3692	5	23.1863	2
Alfeas	5	alphæu	10.6323	5	23.7745	1
Alfeas	5	son	4.4504	5	9.9513	2
Alyi	21	earth	5.0594	15	19.5949	1
Ama	462	eye	1.5947	16	6.3786	1
Ama	462	fil	1.7805	12	6.1679	2
Ama	462	lamb	1.9556	7	5.1740	3
Ama	462	inheritance	2.2545	5	5.0411	4
Ama	462	faithful	1.6285	9	4.8855	5
Amen	26	amen	7.3395	26	37.4242	1
Amen	26	glory	4.5168	12	15.6466	2
Amen	26	christ	2.2286	8	6.3035	3
Amen	26	god	1.7338	13	6.2242	4
Amen	26	jesu	1.3911	8	3.9347	5
Ananias	10	anania	9.6323	10	30.4599	1
Andru	12	andrew	9.3692	12	32.4560	1
Andru	12	simon	6.5168	9	19.5504	2
Andru	12	jame	6.7063	6	16.4269	3
Andru	12	philip	6.6912	5	14.9619	4
Andru	12	john	4.9655	6	12.1630	5
