kc_word	kc_freq	eng_gloss	pmi_score	pair_count	confidence	rank
A'shi	11	evil	4.6184	4	0.3359	1
A'shi	11	good	3.0376	3	0.1657	2
A'shi	11	word	2.9196	3	0.1592	3
Aan	4	strong	7.8079	3	0.7500	1
Aan	4	good	4.4971	3	0.6746	2
Aan	4	man	2.4368	3	0.3655	3
Abaan	6	branch	8.7534	6	1.0000	1
Abaan	6	tree	6.3687	3	0.5000	2
Abeila	4	blood	6.0164	3	0.7500	1
Abrahen	90	abraham	6.4094	65	0.7222	1
Abrahen	90	se	4.9790	19	0.2102	2
Abrahen	90	promise	4.7376	17	0.1790	3
Abrahen	90	isaac	6.1684	15	0.1667	4
Abrahen	90	jacob	5.3059	11	0.1222	5
Abynala	4	member	8.2795	4	1.0000	1
Abynala	4	body	5.6135	3	0.7500	2
Aden	13	adam	9.2229	7	0.5385	1
Aden	13	offence	6.5599	3	0.2308	2
Aden	13	gift	5.1354	3	0.2308	3
Aden	13	first	3.5224	3	0.1626	4
Aden	13	christ	1.8192	3	0.0840	5
Adiw	6	dead	5.2509	5	0.8333	1
Adiw	6	jesu	2.0794	3	0.2079	2
Aghoi	9	good	4.7422	8	0.8431	1
Aghoi	9	evil	5.4929	6	0.6667	2
Aghoi	9	life	3.9290	3	0.2619	3
Agripa	12	agrippa	9.1864	9	0.7500	1
Agripa	12	king	5.5164	7	0.5833	2
Agripa	12	festu	8.0753	5	0.4167	3
Agripa	12	certain	3.8899	3	0.1945	4
Agripa	12	paul	3.7139	3	0.1857	5
Aje	3	seven	6.9460	3	1.0000	1
Aje	3	wife	6.6195	3	1.0000	2
Aje	3	first	5.6379	3	1.0000	3
Aje	3	brother	4.6379	3	0.9276	4
Ajie	49	sin	4.2923	22	0.3854	1
Ajie	49	sinner	4.9163	8	0.1605	2
Ajie	49	temptation	5.7237	6	0.1224	3
Ajie	49	death	2.9628	6	0.0726	4
Ajie	49	lest	3.2043	5	0.0654	5
Ajiwn	14	hypocrite	8.2535	11	0.7857	1
Ajiwn	14	woe	7.0716	8	0.5714	2
Ajiwn	14	scribe	5.9233	7	0.5000	3
Ajiwn	14	pharisee	5.3842	7	0.5000	4
Aka	6	vineyard	7.8789	4	0.6667	1
Akanma	20	servant	4.8710	11	0.5358	1
Akanma	20	faithful	5.3384	5	0.2500	2
Akanma	20	ruler	5.2795	4	0.2000	3
Akanma	20	lord	2.2682	8	0.1815	4
Akanma	20	due	6.6014	3	0.1500	5
Akhaja	9	achaia	9.4639	9	1.0000	1
Akhaja	9	macedonia	7.1684	4	0.4444	2
Akhaja	9	paul	4.1289	3	0.2753	3
Akhaja	9	brother	3.0530	3	0.2035	4
Akila	7	aquila	10.1160	6	0.8571	1
Akila	7	priscilla	10.1160	5	0.7143	2
Akoe	9	hand	4.8345	8	0.8595	1
Akoe	9	wither	7.6379	3	0.3333	2
Akoe	9	man	1.6819	4	0.1495	3
Akun	12	fruit	6.2298	8	0.6667	1
Akun	12	tree	6.5911	7	0.5833	2
Akun	12	corrupt	7.2509	4	0.3333	3
Akun	12	good	3.6491	5	0.3041	4
Akun	12	fall	4.1684	4	0.2779	5
Akyq	19	body	5.2400	11	0.5789	1
Akyq	19	member	6.0315	4	0.2105	2
Akyq	19	sown	6.5599	3	0.1579	3
Akyq	19	flesh	3.6867	4	0.1552	4
Akyq	19	rais	4.5055	3	0.1423	5
Alapha	3	end	6.8789	3	1.0000	1
Alapha	3	begin	5.8044	3	1.0000	2
Alaphei	5	son	4.1257	4	0.6601	1
Alaphei	5	thoma	8.7269	3	0.6000	2
Alaphei	5	jame	7.0164	3	0.6000	3
Ale	4	pay	9.4639	4	1.0000	1
Alezenda	10	alexander	9.6014	5	0.5000	1
Alezenda	10	jew	3.7188	3	0.2231	2
Aluq	6	head	6.8359	6	1.0000	1
Aly	8	forgive	6.0820	3	0.3750	1
Aly	8	sin	4.0326	3	0.3024	2
Aly	8	faith	3.7009	3	0.2776	3
Aly	8	son	3.0326	3	0.2274	4
Aly	8	see	2.4368	3	0.1828	5
Ama	1612	see	0.4826	156	0.0093	1
Ama	1612	person	0.5298	74	0.0049	2
Ama	1612	beast	1.1983	30	0.0045	3
Ama	1612	rise	0.8449	41	0.0043	4
Ama	1612	sit	0.6399	54	0.0043	5
Amdaw	8	see	2.4368	3	0.1828	1
Amdaw	8	thing	2.2699	3	0.1702	2
Amen	36	amen	7.3086	36	1.0000	1
Amen	36	glory	4.3474	15	0.3623	2
Amen	36	grace	4.2050	10	0.2336	3
Amen	36	christ	2.5721	14	0.2001	4
Amen	36	write	3.3818	10	0.1879	5
Ami	15	eye	5.3644	7	0.4667	1
Ami	15	blind	5.6379	5	0.3333	2
Ami	15	pluck	7.0164	3	0.2000	3
Ami	15	hell	6.0778	3	0.2000	4
Ami	15	offend	5.6014	3	0.2000	5
Amiq	3	jesu	3.0794	3	0.6159	1
Amkha	4	mouth	6.7736	4	1.0000	1
Amle	3	tongue	7.1160	3	1.0000	1
Amlunq	28	heart	3.8680	8	0.2210	1
Amlunq	28	evil	3.2705	4	0.0934	2
Amlunq	28	good	2.4267	5	0.0867	3
Amlunq	28	mind	3.5310	3	0.0757	4
Amlunq	28	speak	1.7940	5	0.0641	5
Amoen	6	idol	8.2509	4	0.6667	1
Amoen	6	god	1.7249	3	0.1696	2
Ana	3	eat	5.6659	3	1.0000	1
Anan	53	devil	5.1954	25	0.4717	1
Anan	53	spirit	3.4321	19	0.2461	2
Anan	53	unclean	5.5074	9	0.1698	3
Anan	53	heal	4.2156	9	0.1432	4
Anan	53	cast	3.1250	10	0.1179	5
Ananiq	12	anania	9.3384	10	0.8333	1
Ananiq	12	nam	5.9460	4	0.3333	2
Ananiq	12	ghost	4.4639	3	0.2232	3
Ananiq	12	certain	3.8899	3	0.1945	4
Ananiq	12	hear	2.3013	3	0.1151	5
Anapi	7	circumcision	7.5310	5	0.7143	1
Anaqpa	4	husband	7.2229	3	0.7500	1
Anaqpi	3	brother	4.6379	3	0.9276	1
Anoi	13	mother	5.2594	5	0.3846	1
Anoi	13	parent	6.9010	4	0.3077	2
Anoi	13	bear	3.9252	3	0.1812	3
Anoi	13	son	2.7472	4	0.1691	4
Anoi	13	thi	1.7052	4	0.1049	5
Anon	5	repentance	7.9575	4	0.8000	1
Anon	5	remission	8.8644	3	0.6000	2
Anon	5	preach	5.1977	3	0.6000	3
Anon	5	sin	4.7106	3	0.5653	4
Apawlu	11	apollo	9.4639	9	0.8182	1
Apawlu	11	paul	4.5764	5	0.4160	2
Apawlu	11	brother	2.7635	3	0.1507	3
Apawlu	11	man	1.3924	4	0.1013	4
Apawlu	11	thing	1.8105	3	0.0988	5
Ape	92	man	1.4576	35	0.1109	1
Ape	92	father	2.2379	20	0.0973	2
Ape	92	superscription	5.6628	3	0.0326	3
Ape	92	neck	5.1774	3	0.0326	4
Ape	92	rend	4.2843	3	0.0279	5
Aphau	36	brother	4.1684	26	0.6021	1
Aphau	36	love	2.5636	6	0.0855	2
Aphau	36	ignorant	5.6379	3	0.0833	3
Aphau	36	moreover	5.2509	3	0.0833	4
Aphau	36	spiritual	4.8789	3	0.0813	5
Aqmon	8	child	4.3160	4	0.4316	1
Aqmon	8	son	3.0326	3	0.2274	2
Aqmon	8	man	1.4368	3	0.1078	3
Aqna	5	power	4.9965	3	0.5996	1
Aqshi	4	star	8.3384	4	1.0000	1
Aqshi	4	fall	5.3384	3	0.7500	2
Aqshi	4	heaven	4.5253	3	0.6788	3
Arimathe	5	joseph	7.2322	3	0.6000	1
Aritakhu	5	aristarchu	10.6014	5	1.0000	1
Arun	7	priest	4.5411	3	0.3892	1
Asha	23	asia	8.1518	16	0.6957	1
Asha	23	throughout	5.1774	3	0.1304	2
Asha	23	seven	4.0074	3	0.1045	3
Asha	23	church	3.1774	3	0.0829	4
