kc_word	kc_freq	eng_gloss	pmi_score	pair_count	confidence	rank
Aa	111	be	0.0822	65	0.5856	1
Aa	111	he	0.3596	60	0.5405	2
Aa	111	say	0.7627	40	0.3604	3
Aa	111	that	0.0653	37	0.3333	4
Aa	111	have	0.4645	32	0.2883	5
Aaron	336	and	0.3011	318	0.9464	1
Aaron	336	the	0.2706	314	0.9345	2
Aaron	336	aaron	6.4848	296	0.8810	3
Aaron	336	of	0.3645	252	0.7500	4
Aaron	336	he	0.3939	186	0.5536	5
Abaddon	4	be	0.8542	4	1.0000	1
Abaddon	4	and	0.3805	4	1.0000	2
Abaddon	4	hell	8.7410	3	0.7500	3
Abaddon	4	destruction	7.9413	3	0.7500	4
Abaddon	4	of	0.3645	3	0.7500	5
Abarim	5	of	0.7796	5	1.0000	1
Abarim	5	and	0.3805	5	1.0000	2
Abarim	5	the	0.3683	5	1.0000	3
Abarim	5	abarim	12.0040	4	0.8000	4
Abarim	5	in	1.3835	4	0.8000	5
Abbas	7	barabba	11.3666	6	0.8571	1
Abbas	7	they	1.4097	6	0.8571	2
Abbas	7	and	0.1581	6	0.8571	3
Abbas	7	unto	1.2720	4	0.5714	4
Abbas	7	release	9.5186	3	0.4286	5
Abdi	3	son	3.5788	3	1.0000	1
Abdi	3	of	0.7796	3	1.0000	2
Abdi	3	and	0.3805	3	1.0000	3
Abdi	3	the	0.3683	3	1.0000	4
Abdon	8	abdon	11.9109	8	1.0000	1
Abdon	8	and	0.3805	8	1.0000	2
Abdon	8	son	2.9008	5	0.6250	3
Abdon	8	of	0.1015	5	0.6250	4
Abednego	14	ab	11.1035	14	1.0000	1
Abednego	14	nego	11.1035	14	1.0000	2
Abednego	14	shadrach	11.1035	14	1.0000	3
Abednego	14	meshach	11.1035	14	1.0000	4
Abednego	14	and	0.3805	14	1.0000	5
Abel	19	and	0.3805	19	1.0000	1
Abel	19	abel	10.4406	18	0.9474	2
Abel	19	the	0.2078	17	0.8947	3
Abel	19	of	0.5317	16	0.8421	4
Abel	19	to	0.8921	11	0.5789	5
Abiana	3	will	3.3683	3	1.0000	1
Abiana	3	have	2.2589	3	1.0000	2
Abiana	3	say	2.2351	3	1.0000	3
Abiana	3	unto	2.0794	3	1.0000	4
Abiana	3	be	0.8542	3	1.0000	5
Abiathar	29	abiathar	10.0529	28	0.9655	1
Abiathar	29	and	0.3299	28	0.9655	2
Abiathar	29	the	0.3176	28	0.9655	3
Abiathar	29	of	0.4452	23	0.7931	4
Abiathar	29	priest	4.8921	22	0.7586	5
Abib	4	abib	12.5889	4	1.0000	1
Abib	4	month	7.0100	4	1.0000	2
Abib	4	out	3.6641	4	1.0000	3
Abib	4	in	1.7054	4	1.0000	4
