kc_word	kc_freq	eng_gloss	pmi_score	pair_count	confidence	rank
Abadi	3	son	3.6540	3	1.0000	1
Abadon	8	abdon	11.6732	7	0.8750	1
Abadon	8	son	2.9759	5	0.6250	2
Abana	54	abner	9.0521	48	0.8889	1
Abana	54	david	3.7204	20	0.3704	2
Abana	54	joab	6.1370	14	0.2593	3
Abana	54	king	1.9685	14	0.2593	4
Abana	54	son	1.5995	13	0.2407	5
Abangnaichi	3	disciple	6.8715	3	1.0000	1
Abarim	4	land	3.9224	3	0.7500	1
Abarim	4	child	3.9214	3	0.7500	2
Abarim	4	israel	3.3338	3	0.7500	3
Abasalom	83	absalom	8.3231	73	0.8795	1
Abasalom	83	king	2.2415	26	0.3133	2
Abasalom	83	man	1.1413	22	0.2651	3
Abasalom	83	son	1.6009	20	0.2410	4
Abasalom	83	joab	5.5168	14	0.1687	5
Abba	3	father	4.5271	3	1.0000	1
Abedanekochi	10	nego	11.0585	10	1.0000	1
Abedanekochi	10	ab	11.0585	10	1.0000	2
Abedanekochi	10	shadrach	11.0585	10	1.0000	3
Abedanekochi	10	meshach	11.0585	10	1.0000	4
Abedanekochi	10	nebuchadnezzar	8.0585	5	0.5000	5
Abel	4	abel	10.1289	3	0.7500	1
Abel	4	israel	3.3338	3	0.7500	2
Abela	13	abel	10.4285	12	0.9231	1
Abela	13	cain	9.3174	5	0.3846	2
Abela	13	blood	4.2190	3	0.2308	3
Abela	13	slay	3.9334	3	0.2308	4
Abela	13	brother	3.0904	3	0.2308	5
Abiatha	23	abiathar	9.9944	22	0.9565	1
Abiatha	23	priest	4.8714	17	0.7391	2
Abiatha	23	zadok	8.4354	12	0.5217	3
Abiatha	23	son	2.7154	12	0.5217	4
Abiatha	23	david	3.4371	7	0.3043	5
Abiba	4	abib	12.5440	4	1.0000	1
Abiba	4	month	7.1380	4	1.0000	2
Abiba	4	egypt	5.3767	3	0.7500	3
Abiba	4	keep	5.3293	3	0.7500	4
Abiba	4	day	3.3640	3	0.7500	5
Abieza	7	abi	11.4736	4	0.5714	1
Abieza	7	gideon	8.8491	4	0.5714	2
Abieza	7	ophrah	10.6435	3	0.4286	3
Abieza	7	lord	0.9496	3	0.4286	4
Abihaila	5	abihail	12.2809	5	1.0000	1
Abihaila	5	son	2.9170	3	0.6000	2
Abihu	13	abihu	11.1654	12	0.9231	1
Abihu	13	nadab	10.4285	12	0.9231	2
Abihu	13	aaron	6.3174	10	0.7692	3
Abihu	13	ithamar	9.9175	8	0.6154	4
Abihu	13	eleazar	8.0780	8	0.6154	5
Abija	7	name	4.3036	4	0.5714	1
Abija	7	daughter	4.7010	3	0.4286	2
Abija	7	son	2.4316	3	0.4286	3
Abijah	26	abijah	10.0723	15	0.5769	1
Abijah	26	son	2.5385	12	0.4615	2
Abijah	26	jeroboam	7.1013	11	0.4231	3
Abijah	26	reign	4.9284	7	0.2692	4
Abijah	26	father	2.4117	6	0.2308	5
Abikaila	17	abigail	10.5720	13	0.7647	1
Abikaila	17	david	4.2358	9	0.5294	2
Abikaila	17	wife	4.9971	8	0.4706	3
Abikaila	17	ahinoam	10.1935	4	0.2353	4
Abikaila	17	nabal	8.9711	4	0.2353	5
Abimelek	57	abimelech	8.8754	52	0.9123	1
Abimelek	57	shechem	7.3656	17	0.2982	2
Abimelek	57	man	1.3115	17	0.2982	3
Abimelek	57	person	1.6703	12	0.2105	4
Abimelek	57	brother	2.5429	9	0.1579	5
Abinada	10	abinadab	11.2809	10	1.0000	1
Abinada	10	saul	5.5485	5	0.5000	2
Abinada	10	son	2.6540	5	0.5000	3
Abinada	10	shua	10.5440	4	0.4000	4
Abinada	10	jonathan	6.9440	4	0.4000	5
Abinoam	3	barak	11.1654	3	1.0000	1
Abinoam	3	son	3.6540	3	1.0000	2
Abiram	8	abiram	11.6732	7	0.8750	1
Abiram	8	dathan	11.6435	6	0.7500	2
Abiram	8	son	2.9759	5	0.6250	3
Abiram	8	eliab	9.8659	3	0.3750	4
Abiram	8	mose	3.9273	3	0.3750	5
Abiramchi	3	dathan	12.0585	3	1.0000	1
Abiramchi	3	abiram	11.8659	3	1.0000	2
Abiramchi	3	korah	10.2809	3	1.0000	3
Abisai	30	abishai	9.8976	23	0.7667	1
Abisai	30	son	2.8346	17	0.5667	2
Abisai	30	joab	6.9850	14	0.4667	3
Abisai	30	zeruiah	9.0204	12	0.4000	4
Abisai	30	david	3.5684	10	0.3333	5
Abisha	4	abishag	12.5440	4	1.0000	1
Abisha	4	shunammite	11.8659	4	1.0000	2
Abisha	4	king	3.9161	4	1.0000	3
Abishua	7	abishua	11.7366	4	0.5714	1
Abishua	7	son	2.8466	4	0.5714	2
Abishua	7	phineha	9.2512	3	0.4286	3
Abishua	7	eleazar	7.5560	3	0.4286	4
Abraham	236	abraham	6.8484	194	0.8220	1
Abraham	236	god	1.0832	67	0.2839	2
Abraham	236	isaac	6.1230	65	0.2754	3
Abraham	236	father	2.1364	45	0.1907	4
Abraham	236	son	1.0933	40	0.1695	5
Abram	58	abram	8.9106	43	0.7414	1
Abram	58	lord	0.4014	17	0.2931	2
Abram	58	land	2.0644	12	0.2069	3
Abram	58	lot	5.4969	10	0.1724	4
Abram	58	god	0.2117	9	0.1552	5
Acha	5	grass	8.3216	3	0.6000	1
Acha	5	man	2.3199	3	0.6000	2
Achi	316	lord	0.5547	103	0.3259	1
Achi	316	god	1.1195	92	0.2911	2
Achi	316	thi	0.8926	49	0.1551	3
Achi	316	man	0.0751	40	0.1266	4
Achi	316	father	1.1303	30	0.0949	5
Achura	710	house	3.4974	467	0.6577	1
Achura	710	lord	1.1139	341	0.4803	2
Achura	710	god	0.8957	177	0.2493	3
Achura	710	build	3.7078	119	0.1676	4
Achura	710	king	1.1026	101	0.1423	5
Adah	7	adah	12.0585	6	0.8571	1
Adah	7	esau	7.4340	3	0.4286	2
Adah	7	wife	4.8621	3	0.4286	3
Adaiah	8	adaiah	11.8659	7	0.8750	1
Adaiah	8	son	3.4613	7	0.8750	2
Adam	18	adam	10.0285	17	0.9444	1
Adam	18	seth	9.6960	4	0.2222	2
Adam	18	liv	5.0960	4	0.2222	3
Adam	18	son	1.4841	4	0.2222	4
Adam	18	man	0.8870	4	0.2222	5
Adamah	6	admah	12.2809	5	0.8333	1
Adamah	6	gomorrah	10.0330	4	0.6667	2
Adamah	6	sodom	8.7574	4	0.6667	3
Adamah	6	zeboim	11.5440	3	0.5000	4
Adar	8	adar	11.3513	7	0.8750	1
Adar	8	month	6.9453	7	0.8750	2
Adar	8	day	3.5864	7	0.8750	3
Adar	8	fourteenth	9.4064	4	0.5000	4
Adar	8	thirteenth	10.2809	3	0.3750	5
Adin	4	nehemiah	11.4508	3	0.7500	1
Adonijah	27	adonijah	9.8354	19	0.7037	1
Adonijah	27	son	2.4841	12	0.4444	2
Adonijah	27	solomon	5.6397	11	0.4074	3
Adonijah	27	king	2.6206	11	0.4074	4
Adonijah	27	lord	0.5870	9	0.3333	5
Adoniram	4	tribute	9.5929	3	0.7500	1
Adoniram	4	send	4.6794	3	0.7500	2
Adulam	10	adullam	11.5440	8	0.8000	1
Adulam	10	down	3.5327	4	0.4000	2
Adulam	10	cave	7.9996	3	0.3000	3
Adulam	10	valley	5.9195	3	0.3000	4
Adulam	10	time	3.7047	3	0.3000	5
Adyh	5	judgment	5.4815	3	0.6000	1
Aha	5	ahaz	9.5805	5	1.0000	1
Aha	5	son	2.9170	3	0.6000	2
Ahab	91	ahab	7.4777	44	0.4835	1
Ahab	91	king	2.8677	44	0.4835	2
Ahab	91	israel	2.4890	38	0.4176	3
Ahab	91	lord	0.5711	30	0.3297	4
Ahab	91	son	0.9536	14	0.1538	5
Ahad	27	ahab	8.1635	21	0.7778	1
Ahad	27	son	2.5995	13	0.4815	2
Ahad	27	israel	2.5790	12	0.4444	3
Ahad	27	lord	0.7390	10	0.3704	4
Ahad	27	house	2.5169	9	0.3333	5
Ahasuru	14	ahasueru	10.0041	13	0.9286	1
Ahasuru	14	king	3.8091	13	0.9286	2
Ahasuru	14	haman	8.0229	5	0.3571	3
Ahasuru	14	day	2.2937	5	0.3571	4
Ahasuru	14	mordecai	7.3861	4	0.2857	5
Ahava	3	river	7.1380	3	1.0000	1
Ahawi	6	friend	7.2809	3	0.5000	1
Ahaz	30	ahaz	9.1971	23	0.7667	1
Ahaz	30	king	3.3311	20	0.6667	2
