kc_word	kc_freq	eng_gloss	pmi_score	pair_count	confidence	rank
Aaron	330	aaron	6.3913	272	0.8242	1
Aaron	330	lord	0.9806	144	0.4364	2
Aaron	330	mose	3.9954	132	0.4000	3
Aaron	330	son	2.1428	117	0.3545	4
Aaron	330	israel	1.3109	61	0.1848	5
Abarim	7	abarim	12.0722	6	0.8571	1
Abarim	7	pitch	7.8864	5	0.7143	2
Abarim	7	moab	6.8531	4	0.5714	3
Abarim	7	mountain	5.4575	3	0.4286	4
Abarim	7	depart	5.2478	3	0.4286	5
Abdi	3	son	3.6388	3	1.0000	1
Abdon	9	abdon	11.7097	8	0.8889	1
Abdon	9	son	3.0538	6	0.6667	2
Abednego	11	nego	11.0722	11	1.0000	1
Abednego	11	ab	11.0722	11	1.0000	2
Abednego	11	shadrach	11.0722	11	1.0000	3
Abednego	11	meshach	11.0722	11	1.0000	4
Abednego	11	nebuchadnezzar	7.9347	5	0.4545	5
Abel	20	abel	10.3353	18	0.9000	1
Abel	20	cain	8.9727	6	0.3000	2
Abel	20	israel	2.0095	6	0.3000	3
Abel	20	beth	5.3718	5	0.2500	4
Abel	20	slay	3.7311	4	0.2000	5
Abiathar	29	abiathar	9.9691	27	0.9310	1
Abiathar	29	priest	4.8159	21	0.7241	2
Abiathar	29	son	2.6877	15	0.5172	3
Abiathar	29	zadok	8.2302	13	0.4483	4
Abiathar	29	david	3.4739	9	0.3103	5
Abib	4	abib	12.1426	3	0.7500	1
Abib	4	month	6.6701	3	0.7500	2
Abib	4	keep	5.3327	3	0.7500	3
Abiezer	9	abi	10.9023	4	0.4444	1
Abiezer	9	gideon	8.5002	4	0.4444	2
Abiezer	9	ophrah	10.2946	3	0.3333	3
Abiezer	9	son	2.0538	3	0.3333	4
Abiezer	9	lord	0.5920	3	0.3333	5
Abigail	21	abigail	10.3877	14	0.6667	1
Abigail	21	david	4.2290	11	0.5238	2
Abigail	21	wife	4.8370	9	0.4286	3
Abigail	21	nabal	9.0018	5	0.2381	4
Abigail	21	ahinoam	9.9023	4	0.1905	5
Abihail	6	abihail	12.2946	6	1.0000	1
Abihail	6	daughter	4.9225	3	0.5000	2
Abihail	6	son	2.6388	3	0.5000	3
Abihu	12	abihu	11.2946	12	1.0000	1
Abihu	12	nadab	10.5577	12	1.0000	2
Abihu	12	aaron	6.4071	10	0.8333	3
Abihu	12	ithamar	10.0467	8	0.6667	4
Abihu	12	eleazar	8.1861	8	0.6667	5
Abijah	35	abijah	9.6628	16	0.4571	1
Abijah	35	son	2.3169	14	0.4000	2
Abijah	35	jeroboam	6.6862	11	0.3143	3
Abijah	35	reign	4.8169	9	0.2571	4
Abijah	35	daughter	3.3782	6	0.1714	5
Abimelek	59	abimelech	8.8714	55	0.9322	1
Abimelek	59	man	1.3579	18	0.3051	2
Abimelek	59	shechem	7.2421	16	0.2712	3
Abimelek	59	person	1.8465	14	0.2373	4
Abimelek	59	abraham	4.4389	9	0.1525	5
Abinadab	10	abinadab	11.2946	10	1.0000	1
Abinadab	10	saul	5.5442	5	0.5000	2
Abinadab	10	son	2.6388	5	0.5000	3
Abinadab	10	shua	10.5577	4	0.4000	4
Abinadab	10	jonathan	6.9283	4	0.4000	5
Abinoam	4	barak	11.1791	4	1.0000	1
Abinoam	4	son	3.6388	4	1.0000	2
Abiram	9	abiram	11.7097	8	0.8889	1
Abiram	9	dathan	11.7097	7	0.7778	2
Abiram	9	son	2.7908	5	0.5556	3
Abiram	9	eliab	9.5942	3	0.3333	4
Abiram	9	korah	8.7097	3	0.3333	5
Abishag	6	abishag	12.2946	5	0.8333	1
Abishag	6	shunammite	11.6165	5	0.8333	2
Abishag	6	king	3.6594	5	0.8333	3
Abishai	30	abishai	9.9113	23	0.7667	1
Abishai	30	son	2.8194	17	0.5667	2
Abishai	30	joab	6.9599	14	0.4667	3
Abishai	30	zeruiah	8.9727	12	0.4000	4
Abishai	30	david	3.5769	10	0.3333	5
Abishua	4	abishua	12.5577	4	1.0000	1
Abishua	4	phineha	10.0051	3	0.7500	2
Abishua	4	eleazar	8.3560	3	0.7500	3
Abner	52	abner	9.1202	48	0.9231	1
Abner	52	david	3.7834	20	0.3846	2
Abner	52	joab	6.1663	14	0.2692	3
Abner	52	son	1.7457	14	0.2692	4
Abner	52	king	1.9225	13	0.2500	5
Abraham	255	abraham	6.7646	195	0.7647	1
Abraham	255	god	1.0872	72	0.2824	2
Abraham	255	isaac	6.0687	67	0.2627	3
Abraham	255	father	2.1937	50	0.1961	4
Abraham	255	son	0.9664	40	0.1569	5
Abram	58	abram	8.8556	41	0.7069	1
Abram	58	lord	0.4889	18	0.3103	2
Abram	58	land	1.9264	11	0.1897	3
Abram	58	lot	5.3335	9	0.1552	4
Abram	58	wife	3.3713	9	0.1552	5
Absalom	87	absalom	8.2922	76	0.8736	1
Absalom	87	king	2.2869	28	0.3218	2
Absalom	87	man	1.2126	24	0.2759	3
Absalom	87	son	1.5882	21	0.2414	4
Absalom	87	joab	5.4238	14	0.1609	5
Adah	8	adah	11.8796	8	1.0000	1
Adah	8	wife	5.3813	5	0.6250	2
Adah	8	eliphaz	10.4202	4	0.5000	3
Adah	8	esau	7.1791	3	0.3750	4
Adah	8	bare	6.0216	3	0.3750	5
Adaiah	9	adaiah	11.7097	7	0.7778	1
Adaiah	9	son	3.2762	7	0.7778	2
Adam	19	adam	9.7837	15	0.7895	1
Adam	19	man	1.4077	6	0.3158	2
Adam	19	god	0.9856	5	0.2632	3
Adam	19	seth	9.2166	3	0.1579	4
Adam	19	liv	4.6167	3	0.1579	5
Adang	57	man	0.4077	9	0.1579	1
Adang	57	thi	0.5663	7	0.1228	2
Adang	57	two	2.3188	6	0.1053	3
Adang	57	person	0.6738	6	0.1053	4
Adang	57	israel	0.4985	6	0.1053	5
Adangdum	3	water	5.6175	3	1.0000	1
Adar	10	adar	11.5577	10	1.0000	1
