kc_word	kc_freq	eng_gloss	pmi_score	pair_count	confidence	rank
Aaron	311	aaron	6.4331	263	104.3272	1
Aaron	311	mose	4.0619	129	46.1342	2
Aaron	311	congregation	3.9526	51	28.2275	3
Aaron	311	aaron'	5.9517	20	26.6169	4
Aaron	311	eleazar	5.0201	23	24.0755	5
Abdon	8	abdon	11.6721	7	30.8815	1
Abdon	8	son	2.9706	5	6.6424	2
Abedneko	11	shadrach	11.0574	11	36.6733	1
Abedneko	11	meshach	11.0574	11	36.6733	2
Abedneko	11	nego	11.0574	11	36.6733	3
Abedneko	11	ab	11.0574	11	36.6733	4
Abedneko	11	nebuchadnezzar	7.9199	5	17.7095	5
Abel	20	abel	10.3908	18	44.0846	1
Abel	20	cain	8.9579	6	21.9422	2
Abel	20	beth	5.3890	5	12.0502	3
Abel	20	israel	2.0134	6	4.9318	4
Abiatha	26	abiathar	10.0008	25	50.0041	1
Abiatha	26	zadok	8.2574	12	28.6046	2
Abiatha	26	priest	4.9183	20	21.9953	3
Abiatha	26	son	2.8551	15	11.0577	4
Abiatha	26	david	3.2609	7	8.6275	5
Abib	5	abib	12.5428	5	28.0466	1
Abigail	15	abigail	10.6359	12	36.8440	1
Abigail	15	wife	4.9579	7	13.1173	2
Abigail	15	david	4.0544	7	10.7270	3
Abihail	5	abihail	12.2798	5	27.4585	1
Abihu	12	abihu	11.2798	12	39.0744	1
Abihu	12	nadab	10.5428	12	36.5215	2
Abihu	12	ithamar	10.0319	8	28.3744	3
Abihu	12	eleazar	8.1923	8	23.1714	4
Abihu	12	aaron	6.4119	10	20.2762	5
Abijah	32	abijah	9.7717	15	37.8455	1
Abijah	32	jeroboam	6.6631	10	21.0707	2
Abijah	32	rehoboam	6.8648	5	15.3501	3
Abijah	32	reign	4.8204	8	13.6341	4
Abijah	32	son	2.5555	15	9.8975	5
Abimelek	54	abimelech	8.9523	52	64.5562	1
Abimelek	54	shechem	7.4425	17	30.6860	2
Abimelek	54	jerubbaal	7.9944	6	19.5822	3
Abimelek	54	gaal	8.2619	5	18.4741	4
Abimelek	54	abraham	4.3956	8	12.4327	5
Abinadab	10	abinadab	11.2798	10	35.6699	1
Abinadab	10	saul	5.5383	5	12.3841	2
Abinadab	10	son	2.6486	5	5.9225	3
Abiram	9	abiram	11.6948	8	33.0780	1
Abiram	9	dathan	11.6948	7	30.9416	2
Abiram	9	son	2.8006	5	6.2624	3
Abishag	5	abishag	12.5428	5	28.0466	1
