kc_word	kc_freq	eng_gloss	pmi_score	pair_count	confidence	rank
Aaron	316	aaron	6.4021	260	103.2306	1
Aaron	316	mose	4.0835	133	47.0936	2
Aaron	316	congregation	3.9838	53	29.0023	3
Aaron	316	aaron'	5.9274	20	26.5080	4
Aaron	316	eleazar	4.9957	23	23.9587	5
Abdon	8	abdon	11.6708	7	30.8779	1
Abdon	8	son	2.9722	5	6.6461	2
Abednego	11	shadrach	11.0561	11	36.6688	1
Abednego	11	meshach	11.0561	11	36.6688	2
Abednego	11	nego	11.0561	11	36.6688	3
Abednego	11	ab	11.0561	11	36.6688	4
Abednego	11	nebuchadnezzar	7.9186	5	17.7064	5
Abel	20	abel	10.4635	18	44.3928	1
Abel	20	cain	8.9565	6	21.9389	2
Abel	20	beth	5.4456	5	12.1766	3
Abel	20	israel	2.0114	6	4.9269	4
Abiathar	27	abiathar	10.0016	26	50.9984	1
Abiathar	27	zadok	8.3171	13	29.9878	2
Abiathar	27	priest	4.9386	21	22.6315	3
Abiathar	27	son	2.8023	15	10.8533	4
Abiathar	27	david	3.3960	8	9.6053	5
Abib	5	abib	12.5415	5	28.0436	1
Abigail	15	abigail	10.6346	12	36.8393	1
Abigail	15	wife	4.9792	7	13.1738	2
Abigail	15	david	4.0513	7	10.7189	3
Abihail	6	abihail	12.2784	6	30.0759	1
Abihu	11	abihu	11.2784	11	37.4064	1
Abihu	11	nadab	10.5415	11	34.9621	2
Abihu	11	ithamar	10.1561	8	28.7257	3
Abihu	11	eleazar	8.3165	8	23.5227	4
Abihu	11	aaron	6.3940	9	19.1820	5
Abijah	34	abijah	9.7759	16	39.1038	1
Abijah	34	jeroboam	6.7118	11	22.2606	2
Abijah	34	rehoboam	6.7759	5	15.1515	3
Abijah	34	reign	4.9070	9	14.7209	4
Abijah	34	son	2.4697	15	9.5652	5
Abimelech	56	abimelech	8.9530	54	65.7906	1
Abimelech	56	shechem	7.3886	17	30.4641	2
Abimelech	56	jerubbaal	7.9406	6	19.4504	3
Abimelech	56	gaal	8.2081	5	18.3538	4
Abimelech	56	abraham	4.3281	8	12.2418	5
Abinadab	10	abinadab	11.2784	10	35.6656	1
Abinadab	10	saul	5.5415	5	12.3911	2
Abinadab	10	son	2.6503	5	5.9263	3
Abiram	10	abiram	11.5415	8	32.6442	1
Abiram	10	dathan	11.5415	7	30.5359	2
Abiram	10	son	2.6503	5	5.9263	3
Abishag	5	abishag	12.5415	5	28.0436	1
Abishag	5	shunammite	11.8634	5	26.5274	2
Abishai	28	abishai	9.9947	23	47.9327	1
Abishai	28	zeruiah	9.1175	12	31.5838	2
Abishai	28	joab	7.0821	14	26.4986	3
Abishai	28	spear	6.6775	5	14.9314	4
Abishai	28	son	2.9304	17	12.0824	5
Abner	52	abner	9.1041	48	63.0749	1
Abner	52	ner	8.7479	12	30.3037	2
Abner	52	joab	6.0821	13	21.9292	3
Abner	52	asahel	8.1630	7	21.5972	4
Abner	52	bosheth	8.0255	5	17.9455	5
Abraham	249	abraham	6.7902	196	95.0628	1
Abraham	249	isaac	6.0869	67	49.8231	2
Abraham	249	abraham'	6.9034	17	28.4635	3
Abraham	249	sarah	6.1191	18	25.9613	4
Abraham	249	se	3.9550	32	22.3731	5
Abram	53	abram	8.9339	40	56.5027	1
Abram	53	sarai	8.4351	8	23.8579	2
Abram	53	abram'	8.9131	6	21.8325	3
Abram	53	haran	7.6330	6	18.6969	4
Abram	53	hagar	8.1355	5	18.1915	5
Absalom	84	absalom	8.3230	74	71.5971	1
Absalom	84	ahithophel	7.7930	10	24.6437	2
Absalom	84	amnon	7.3931	9	22.1793	3
Absalom	84	joab	5.5966	15	21.6756	4
Absalom	84	hushai	7.5780	7	20.0495	5
Acacia	13	shittim	9.6224	11	31.9139	1
Acacia	13	wood	6.7256	6	16.4742	2
