kc_word	kc_freq	eng_gloss	pmi_score	pair_count	confidence	rank
Aaron	327	the	0.2791	307	0.9388	1
Aaron	327	and	0.2695	303	0.9266	2
Aaron	327	aaron	6.5247	292	0.8930	3
Aaron	327	of	0.3792	247	0.7554	4
Aaron	327	he	0.3981	182	0.5566	5
Abarim	5	and	0.3795	5	1.0000	1
Abarim	5	the	0.3701	5	1.0000	2
Abarim	5	abarim	11.9857	4	0.8000	3
Abarim	5	in	1.3880	4	0.8000	4
Abarim	5	of	0.4620	4	0.8000	5
Abdi	3	son	3.5843	3	1.0000	1
Abdi	3	of	0.7839	3	1.0000	2
Abdi	3	and	0.3795	3	1.0000	3
Abdi	3	the	0.3701	3	1.0000	4
Abdon	8	abdon	11.8926	8	1.0000	1
Abdon	8	and	0.3795	8	1.0000	2
Abdon	8	son	2.9062	5	0.6250	3
Abdon	8	of	0.1059	5	0.6250	4
Abednego	12	ab	11.0853	12	1.0000	1
Abednego	12	nego	11.0853	12	1.0000	2
Abednego	12	shadrach	11.0853	12	1.0000	3
Abednego	12	meshach	11.0853	12	1.0000	4
Abednego	12	and	0.3795	12	1.0000	5
Abel	10	abel	10.5707	10	1.0000	1
Abel	10	and	0.3795	10	1.0000	2
Abel	10	the	0.0482	8	0.8000	3
Abel	10	of	0.2694	7	0.7000	4
Abel	10	he	0.5065	6	0.6000	5
Abelbethmaakah	4	abel	10.5707	4	1.0000	1
Abelbethmaakah	4	maachah	10.3691	4	1.0000	2
Abelbethmaakah	4	beth	7.3613	4	1.0000	3
Abelbethmaakah	4	all	2.7442	4	1.0000	4
Abelbethmaakah	4	of	0.7839	4	1.0000	5
Abelmeholah	3	abel	10.5707	3	1.0000	1
Abelmeholah	3	to	1.6867	3	1.0000	2
Abelmeholah	3	of	0.7839	3	1.0000	3
Abelmeholah	3	and	0.3795	3	1.0000	4
Abelmeholah	3	the	0.3701	3	1.0000	5
Abiathar	29	abiathar	10.0347	28	0.9655	1
Abiathar	29	and	0.3288	28	0.9655	2
Abiathar	29	the	0.3195	28	0.9655	3
Abiathar	29	of	0.4495	23	0.7931	4
Abiathar	29	priest	4.8849	22	0.7586	5
