kc_word	kc_freq	eng_gloss	pmi_score	pair_count	confidence	rank
Abang	16	and	0.0961	15	0.9375	1
Abang	16	they	0.5487	12	0.7500	2
Abang	16	the	0.0272	11	0.6875	3
Abang	16	to	0.8346	8	0.5000	4
Abang	16	of	0.0909	7	0.4375	5
Accyh	3	take	3.4508	3	1.0000	1
Accyh	3	you	1.8346	3	1.0000	2
Ae	3	he	0.5174	3	1.0000	1
Ae	3	and	0.1893	3	1.0000	2
Ah	11	be	0.7970	10	0.9091	1
Ah	11	the	0.4303	10	0.9091	2
Ah	11	and	0.0517	10	0.9091	3
Ah	11	they	0.5043	8	0.7273	4
Ah	11	in	1.0249	5	0.4545	5
Amaw	12	and	0.0637	11	0.9167	1
Amaw	12	the	0.3047	10	0.8333	2
Amaw	12	he	0.2543	10	0.8333	3
Amaw	12	of	0.5059	7	0.5833	4
Amaw	12	to	0.5716	5	0.4167	5
Amuakalang	3	the	0.5678	3	1.0000	1
Amuakalang	3	and	0.1893	3	1.0000	2
Andru	4	of	1.2835	4	1.0000	1
Andru	4	the	0.5678	4	1.0000	2
Andru	4	and	0.1893	4	1.0000	3
Andru	4	simon	5.7966	3	0.7500	4
Andru	4	jame	5.2661	3	0.7500	5
Athua	4	say	1.4043	4	1.0000	1
Athua	4	unto	1.2183	3	0.7500	2
Athua	4	he	0.1023	3	0.7500	3
Atu	4	and	0.1893	4	1.0000	1
Atu	4	come	1.9004	3	0.7500	2
Atu	4	be	0.5194	3	0.7500	3
Atu	4	the	0.1527	3	0.7500	4
Atu	4	he	0.1023	3	0.7500	5
Baccaccing	10	you	1.8346	10	1.0000	1
Baccaccing	10	unto	1.6334	10	1.0000	2
Baccaccing	10	say	1.4043	10	1.0000	3
Baccaccing	10	verily	5.3226	9	0.9000	4
Baccaccing	10	shall	2.2231	7	0.7000	5
Baptisma	5	john	4.7377	5	1.0000	1
Baptisma	5	say	1.4043	5	1.0000	2
Baptisma	5	the	0.2458	4	0.8000	3
Baptisma	5	but	1.7866	3	0.6000	4
Baptisma	5	you	1.0977	3	0.6000	5
Barabbas	3	they	0.9637	3	1.0000	1
Barabbas	3	the	0.5678	3	1.0000	2
Barabbas	3	he	0.5174	3	1.0000	3
Bawipaw	12	the	0.5678	12	1.0000	1
Bawipaw	12	and	0.1893	12	1.0000	2
Bawipaw	12	lord	4.9486	10	0.8333	3
