kc_word	kc_freq	eng_gloss	pmi_score	pair_count	confidence	rank
Aaron	346	and	0.2868	324	0.9364	1
Aaron	346	the	0.2696	323	0.9335	2
Aaron	346	aaron	6.4694	300	0.8671	3
Aaron	346	of	0.3557	258	0.7457	4
Aaron	346	he	0.4151	194	0.5607	5
Abaddon	5	and	0.3816	5	1.0000	1
Abaddon	5	destruction	8.0266	4	0.8000	2
Abaddon	5	be	0.5335	4	0.8000	3
Abaddon	5	the	0.0469	4	0.8000	4
Abaddon	5	hell	8.4265	3	0.6000	5
Abang	28	and	0.2181	25	0.8929	1
Abang	28	some	6.5474	17	0.6071	2
Abang	28	of	0.0592	17	0.6071	3
Abang	28	they	0.4114	12	0.4286	4
Abang	28	have	0.7761	10	0.3571	5
Abarim	5	and	0.3816	5	1.0000	1
Abarim	5	the	0.3688	5	1.0000	2
Abarim	5	abarim	12.0115	4	0.8000	3
Abarim	5	in	1.3859	4	0.8000	4
Abarim	5	of	0.4572	4	0.8000	5
Abdi	3	son	3.5713	3	1.0000	1
Abdi	3	of	0.7791	3	1.0000	2
Abdi	3	and	0.3816	3	1.0000	3
Abdi	3	the	0.3688	3	1.0000	4
Abdon	8	abdon	11.9184	8	1.0000	1
Abdon	8	and	0.3816	8	1.0000	2
Abdon	8	son	2.8932	5	0.6250	3
Abdon	8	of	0.1010	5	0.6250	4
Abednego	11	ab	11.1110	11	1.0000	1
Abednego	11	nego	11.1110	11	1.0000	2
Abednego	11	shadrach	11.1110	11	1.0000	3
Abednego	11	meshach	11.1110	11	1.0000	4
Abednego	11	and	0.3816	11	1.0000	5
Abel	18	and	0.3816	18	1.0000	1
Abel	18	abel	10.4436	17	0.9444	2
Abel	18	the	0.1989	16	0.8889	3
Abel	18	of	0.5161	15	0.8333	4
Abel	18	he	0.5393	11	0.6111	5
Abelmeholah	3	abel	10.5260	3	1.0000	1
Abelmeholah	3	to	1.6832	3	1.0000	2
Abelmeholah	3	of	0.7791	3	1.0000	3
Abelmeholah	3	and	0.3816	3	1.0000	4
Abelmeholah	3	the	0.3688	3	1.0000	5
Abenego	3	ab	11.1110	3	1.0000	1
Abenego	3	nego	11.1110	3	1.0000	2
Abenego	3	shadrach	11.1110	3	1.0000	3
Abenego	3	meshach	11.1110	3	1.0000	4
Abenego	3	nebuchadnezzar	9.1110	3	1.0000	5
Abiathar	27	abiathar	10.0565	26	0.9630	1
Abiathar	27	and	0.3271	26	0.9630	2
Abiathar	27	the	0.3144	26	0.9630	3
Abiathar	27	of	0.4837	22	0.8148	4
Abiathar	27	priest	4.9337	21	0.7778	5
Abib	4	abib	12.5964	4	1.0000	1
Abib	4	month	7.0115	4	1.0000	2
Abib	4	out	3.6698	4	1.0000	3
Abib	4	in	1.7078	4	1.0000	4
Abib	4	you	1.5680	4	1.0000	5
Abidan	4	abidan	12.5964	4	1.0000	1
Abidan	4	gideoni	12.5964	4	1.0000	2
Abidan	4	benjamin	7.6146	4	1.0000	3
Abidan	4	son	3.5713	4	1.0000	4
Abidan	4	of	0.7791	4	1.0000	5
Abiel	3	of	0.7791	3	1.0000	1
Abiel	3	the	0.3688	3	1.0000	2
Abiezer	8	and	0.3816	8	1.0000	1
Abiezer	8	be	0.6628	7	0.8750	2
Abiezer	8	of	0.5865	7	0.8750	3
Abiezer	8	the	0.1762	7	0.8750	4
Abiezer	8	he	0.8348	6	0.7500	5
Abigail	19	and	0.3036	18	0.9474	1
Abigail	19	abigail	10.6704	17	0.8947	2
