kc_word	kc_freq	eng_gloss	pmi_score	pair_count	confidence	rank
AHI	3	write	6.1357	3	1.0000	1
Aaron	330	aaron	6.5382	299	0.9061	1
Aaron	330	lord	1.0269	146	0.4424	2
Aaron	330	mose	4.0715	138	0.4182	3
Aaron	330	son	2.1727	125	0.3788	4
Aaron	330	israel	1.3937	64	0.1939	5
Abaddon	7	destruction	8.1314	6	0.8571	1
Abaddon	7	hell	7.9464	3	0.4286	2
Abarim	6	abarim	11.7537	4	0.6667	1
Abarim	6	mountain	5.7240	3	0.5000	2
Abarim	6	israel	2.7600	3	0.5000	3
Abba	3	father	4.5313	3	1.0000	1
Abdi	3	son	3.5733	3	1.0000	1
Abdon	7	abdon	11.9237	7	1.0000	1
Abdon	7	son	3.0878	5	0.7143	2
Abednego	13	nego	11.1163	13	1.0000	1
Abednego	13	ab	11.1163	13	1.0000	2
Abednego	13	shadrach	11.1163	13	1.0000	3
Abednego	13	meshach	11.1163	13	1.0000	4
Abednego	13	nebuchadnezzar	7.9753	6	0.4615	5
Abel	21	abel	10.4609	20	0.9524	1
Abel	21	beth	5.7537	7	0.3333	2
Abel	21	israel	1.9526	6	0.2857	3
Abel	21	cain	8.6833	5	0.2381	4
Abel	21	maachah	8.0078	4	0.1905	5
Abiathar	29	abiathar	10.0657	28	0.9655	1
Abiathar	29	priest	4.8976	22	0.7586	2
Abiathar	29	son	2.7153	16	0.5517	3
Abiathar	29	zadok	8.1514	13	0.4483	4
Abiathar	29	david	3.4908	9	0.3103	5
Abib	4	abib	12.6017	4	1.0000	1
Abib	4	month	7.0168	4	1.0000	2
Abib	4	egypt	5.3845	3	0.7500	3
Abib	4	keep	5.3462	3	0.7500	4
Abib	4	day	3.3832	3	0.7500	5
Abidan	5	gideoni	12.6017	5	1.0000	1
Abidan	5	abidan	12.6017	5	1.0000	2
Abidan	5	son	3.5733	5	1.0000	3
Abidan	5	benjamin	7.2979	4	0.8000	4
Abiezer	7	abiezer	12.1163	5	0.7143	1
Abiezer	7	son	2.7659	4	0.5714	2
Abigail	16	abigail	10.8362	16	1.0000	1
Abigail	16	wife	5.0595	8	0.5000	2
Abigail	16	david	4.1788	8	0.5000	3
Abigail	16	nabal	9.3387	5	0.3125	4
Abigail	16	send	3.1325	4	0.2500	5
Abihail	6	abihail	12.3387	6	1.0000	1
Abihail	6	daughter	4.9579	3	0.5000	2
Abihail	6	son	2.5733	3	0.5000	3
Abihu	11	abihu	11.3387	11	1.0000	1
Abihu	11	nadab	10.6017	11	1.0000	2
Abihu	11	aaron	6.3910	9	0.8182	3
Abihu	11	ithamar	10.1423	8	0.7273	4
Abihu	11	eleazar	8.3145	8	0.7273	5
Abijah	24	abijah	10.3387	20	0.8333	1
Abijah	24	jeroboam	6.7995	8	0.3333	2
Abijah	24	son	1.5733	6	0.2500	3
Abijah	24	reign	4.5058	5	0.2083	4
Abijah	24	daughter	3.6948	5	0.2083	5
Abijam	4	reign	6.3538	3	0.7500	1
Abijam	4	son	3.1582	3	0.7500	2
Abil	3	ear	6.8847	3	1.0000	1
Abimelek	61	abimelech	8.9929	60	0.9836	1
Abimelek	61	shechem	7.2380	16	0.2623	2
Abimelek	61	man	1.1502	16	0.2623	3
Abimelek	61	person	1.7139	13	0.2131	4
Abimelek	61	abraham	4.5600	10	0.1639	5
Abinadab	11	abinadab	11.3387	11	1.0000	1
