kc_word	kc_freq	eng_gloss	pmi_score	pair_count	confidence	rank
Aaron	281	aaron	6.5244	252	103.5709	1
Aaron	281	mose	4.0907	119	44.6247	2
Aaron	281	aaron'	6.7429	30	36.9326	3
Aaron	281	congregation	3.9301	46	26.6553	4
Aaron	281	son	2.3673	122	26.1475	5
Aaron'in	49	aaron	6.6518	48	46.0847	1
Aaron'in	49	mose	3.9636	19	17.2768	2
Aaron'in	49	atonement	5.5026	5	12.3042	3
Aaron'in	49	offer	3.1281	10	9.8918	4
Aaron'in	49	congregation	3.5112	6	8.6007	5
Abdon	8	abdon	11.9247	8	33.7281	1
Abdon	8	son	2.8929	5	6.4687	2
Abednego	13	shadrach	11.1173	13	40.0841	1
Abednego	13	meshach	11.1173	13	40.0841	2
Abednego	13	nego	11.1173	13	40.0841	3
Abednego	13	ab	11.1173	13	40.0841	4
Abednego	13	furnace	8.5462	5	19.1098	5
Abel	20	abel	10.3804	18	44.0401	1
Abel	20	beth	5.9880	8	16.9367	2
Abel	20	israel	1.7610	5	3.9378	3
Abiathar	28	abiathar	10.0649	27	52.2985	1
Abiathar	28	zadok	8.2030	13	29.5765	2
Abiathar	28	priest	4.8821	21	22.3726	3
Abiathar	28	son	2.7636	16	11.0545	4
Abiathar	28	david	3.3725	8	9.5388	5
Abiezer	10	abiezer	11.6027	5	25.9445	1
Abiezer	10	abi	11.1173	5	24.8591	2
Abigail	15	abigail	10.7377	14	40.1767	1
Abigail	15	nabal	9.4328	5	21.0924	2
Abigail	15	wife	5.3143	9	15.9428	3
Abigail	15	david	4.0803	7	10.7955	4
Abihail	5	abihail	12.3397	5	27.5924	1
Abihu	11	abihu	11.3397	11	37.6096	1
Abihu	11	nadab	10.6027	11	35.1653	2
Abihu	11	ithamar	10.1433	8	28.6896	3
Abihu	11	eleazar	8.3155	8	23.5198	4
Abihu	11	aaron	6.3920	9	19.1760	5
Abijah	21	abijah	10.3804	18	44.0401	1
Abijah	21	jeroboam	6.8006	7	17.9926	2
Abijah	21	reign	4.6995	5	10.5083	3
Abijah	21	son	1.9860	7	5.2545	4
Abimelech	45	abimelech	8.9854	44	59.6021	1
Abimelech	45	shechem	7.6779	16	30.7117	2
Abimelech	45	gaal	8.5848	5	19.1962	3
Abimelech	45	jerubbaal	8.0543	5	18.0100	4
Abimelech	45	abraham	4.2629	6	10.4419	5
Abimelech'in	17	abimelech	9.0178	17	37.1813	1
Abimelech'in	17	wife	4.2857	5	9.5831	2
Abimelech'in	17	person	2.1769	5	4.8676	3
Abinadab	10	abinadab	11.3397	10	35.8593	1
Abinadab	10	son	2.5710	5	5.7489	2
Abiram	9	abiram	11.7547	9	35.2642	1
Abiram	9	dathan	11.7547	8	33.2474	2
Abiram	9	son	2.9860	6	7.3142	3
Abishag	5	abishag	12.6027	5	28.1806	1
Abishag	5	shunammite	11.9247	5	26.6644	2
Abishai	19	abishai	10.3397	19	45.0698	1
Abishai	19	joab	7.4703	13	26.9345	2
Abishai	19	zeruiah	8.3548	5	18.6819	3
Abishai	19	brother	4.1086	9	12.3257	4
Abishai	19	david	3.5169	6	8.6145	5
Abishai'in	6	abishai	10.3397	6	25.3270	1
Abishai'in	6	zeruiah	10.0178	5	22.4004	2
Abishai'in	6	son	3.3079	5	7.3968	3
Abner	45	abner	9.1918	44	60.9716	1
Abner	45	ner	9.1333	13	32.9304	2
Abner	45	joab	5.9854	11	19.8512	3
Abner	45	bosheth	8.2953	5	18.5489	4
Abner	45	ish	8.0543	5	18.0100	5
Abner'in	12	abner	9.2242	12	31.9537	1
Abner'in	12	david	4.1798	6	10.2385	2
Abraham	179	abraham	7.0258	162	89.4241	1
Abraham	179	isaac	6.3534	56	47.5445	2
Abraham	179	abraham'	7.3629	18	31.2379	3
Abraham	179	jacob	4.1951	35	24.8186	4
Abraham	179	sarah	6.2482	14	23.3787	5
Abraham'in	52	abraham	7.1418	51	51.0024	1
Abraham'in	52	isaac	5.9144	12	20.4880	2
