kc_word	kc_freq	eng_gloss	pmi_score	pair_count	confidence	rank
Adangte	4	the	0.5659	4	1.0000	1
Adangte	4	they	0.5472	3	0.7500	2
Adangte	4	be	0.5103	3	0.7500	3
Ahang	14	for	2.4034	13	0.9286	1
Ahang	14	he	0.0463	10	0.7143	2
Ahang	14	be	0.1180	8	0.5714	3
Ahang	14	not	1.3373	6	0.4286	4
Ahang	14	but	1.3124	6	0.4286	5
Ahi	60	but	2.2717	50	0.8333	1
Ahi	60	he	0.0171	42	0.7000	2
Ahi	60	be	0.0629	33	0.5500	3
Ahi	60	that	0.5709	28	0.4667	4
Ahi	60	you	0.4672	23	0.3833	5
Ama	13	he	0.4162	12	0.9231	1
Ama	13	of	0.5910	8	0.6154	2
Ama	13	say	0.5234	7	0.5385	3
Ama	13	be	0.0323	7	0.5385	4
Ama	13	as	2.1197	5	0.3846	5
Amah	105	and	0.0765	97	0.9238	1
Amah	105	he	0.3720	94	0.8952	2
Amah	105	say	0.6329	61	0.5810	3
Amah	105	be	0.1419	61	0.5810	4
Amah	105	they	0.1306	59	0.5619	5
Amau	3	they	0.9622	3	1.0000	1
Amau	3	and	0.1908	3	1.0000	2
Amaute	78	and	0.0552	71	0.9103	1
Amaute	78	they	0.7429	67	0.8590	2
Amaute	78	he	0.0537	56	0.7179	3
Amaute	78	to	0.3725	28	0.3590	4
Amaute	78	unto	0.0087	25	0.3205	5
Andrew	4	of	1.2914	4	1.0000	1
Andrew	4	the	0.5659	4	1.0000	2
Andrew	4	and	0.1908	4	1.0000	3
Andrew	4	simon	5.8202	3	0.7500	4
Andrew	4	jame	5.2897	3	0.7500	5
Anlum	4	they	0.9622	4	1.0000	1
Anlum	4	he	0.5317	4	1.0000	2
Anlum	4	and	0.1908	4	1.0000	3
Anlum	4	how	4.2352	3	0.7500	4
Anlum	4	you	1.4355	3	0.7500	5
Bang	24	and	0.0653	22	0.9167	1
Bang	24	he	0.2687	20	0.8333	2
Bang	24	say	1.0794	19	0.7917	3
Bang	24	unto	1.0653	16	0.6667	4
Bang	24	you	1.1725	15	0.6250	5
Baptize	4	john	4.7613	4	1.0000	1
Baptize	4	say	1.4165	4	1.0000	2
Baptize	4	of	1.2914	4	1.0000	3
Baptize	4	the	0.5659	4	1.0000	4
Baptize	4	and	0.1908	4	1.0000	5
Barabbas	3	they	0.9622	3	1.0000	1
Barabbas	3	the	0.5659	3	1.0000	2
Barabbas	3	he	0.5317	3	1.0000	3
Bethany	4	come	2.3177	4	1.0000	1
Bethany	4	the	0.5659	4	1.0000	2
Bethany	4	he	0.5317	4	1.0000	3
Bethany	4	and	0.1908	4	1.0000	4
Bethany	4	when	2.1699	3	0.7500	5
Biakinnpi	3	temple	5.9457	3	1.0000	1
Biakinnpi	3	of	1.2914	3	1.0000	2
Biakinnpi	3	the	0.5659	3	1.0000	3
Biakinnpi	3	and	0.1908	3	1.0000	4
Caesar	3	unto	1.6503	3	1.0000	1
Caesar	3	say	1.4165	3	1.0000	2
Caesar	3	they	0.9622	3	1.0000	3
Caesar	3	be	0.9254	3	1.0000	4
Caesar	3	he	0.5317	3	1.0000	5
Capernaum	3	the	0.5659	3	1.0000	1
Capernaum	3	he	0.5317	3	1.0000	2
Capernaum	3	and	0.1908	3	1.0000	3
Christ	8	christ	6.2352	8	1.0000	1
Christ	8	be	0.5103	6	0.7500	2
Christ	8	the	0.1509	6	0.7500	3
Christ	8	he	0.1167	6	0.7500	4
Christ	8	say	0.7384	5	0.6250	5
David	7	david	6.5978	7	1.0000	1
David	7	he	0.3093	6	0.8571	2
David	7	that	1.1850	5	0.7143	3
David	7	be	0.4399	5	0.7143	4
David	7	the	0.0805	5	0.7143	5
Elijah	9	elia	6.2352	9	1.0000	1
Elijah	9	and	0.1908	9	1.0000	2
Elijah	9	say	1.0539	7	0.7778	3
Elijah	9	it	1.9133	6	0.6667	4
Elijah	9	of	0.7064	6	0.6667	5
En	3	say	1.4165	3	1.0000	1
En	3	be	0.9254	3	1.0000	2
En	3	he	0.5317	3	1.0000	3
En	3	and	0.1908	3	1.0000	4
Galilee	13	galilee	5.7047	12	0.9231	1
Galilee	13	he	0.1532	10	0.7692	2
Galilee	13	that	0.7773	7	0.5385	3
Galilee	13	be	0.0323	7	0.5385	4
Galilee	13	of	0.1759	6	0.4615	5
Gunkuang	6	ship	5.2352	6	1.0000	1
Gunkuang	6	be	0.9254	6	1.0000	2
Gunkuang	6	the	0.5659	6	1.0000	3
Gunkuang	6	he	0.5317	6	1.0000	4
Gunkuang	6	and	0.1908	6	1.0000	5
Herod	10	he	0.3797	9	0.9000	1
Herod	10	herod	6.0832	8	0.8000	2
Herod	10	john	3.7613	5	0.5000	3
Herod	10	say	0.4165	5	0.5000	4
Herod	10	of	0.2914	5	0.5000	5
Herodia	3	he	0.5317	3	1.0000	1
Herodia	3	and	0.1908	3	1.0000	2
Hih	35	and	0.1490	34	0.9714	1
Hih	35	he	0.0463	25	0.7143	2
Hih	35	say	0.8107	23	0.6571	3
Hih	35	be	0.3196	23	0.6571	4
Hih	35	thi	2.9864	18	0.5143	5
Hihte	5	and	0.1908	5	1.0000	1
Hihte	5	these	4.5597	4	0.8000	2
Hihte	5	the	0.2440	4	0.8000	3
Hihte	5	shall	2.0100	3	0.6000	4
Hihte	5	be	0.1884	3	0.6000	5
Hong	7	of	1.0690	6	0.8571	1
Hong	7	unto	1.1648	5	0.7143	2
Hong	7	say	0.9310	5	0.7143	3
Hong	7	they	0.1548	4	0.5714	4
Hong	7	you	0.6282	3	0.4286	5
Huih	3	wind	6.8202	3	1.0000	1
Huih	3	of	1.2914	3	1.0000	2
Huih	3	be	0.9254	3	1.0000	3
Huih	3	the	0.5659	3	1.0000	4
Huih	3	and	0.1908	3	1.0000	5
Inn	5	and	0.1908	5	1.0000	1
Inn	5	be	0.6034	4	0.8000	2
Inn	5	the	0.2440	4	0.8000	3
Inn	5	he	0.2098	4	0.8000	4
Inn	5	house	3.8102	3	0.6000	5
James	13	jame	5.7047	13	1.0000	1
James	13	and	0.1908	13	1.0000	2
James	13	the	0.3249	11	0.8462	3
James	13	of	0.9129	10	0.7692	4
James	13	john	4.2308	9	0.6923	5
Jerusalem	11	jerusalem	5.9457	11	1.0000	1
Jerusalem	11	and	0.1908	11	1.0000	2
Jerusalem	11	he	0.3942	10	0.9091	3
Jerusalem	11	the	0.2764	9	0.8182	4
Jerusalem	11	come	1.8582	8	0.7273	5
Jesu	211	and	0.0918	197	0.9336	1
Jesu	211	he	0.3025	180	0.8531	2
Jesu	211	the	0.0640	149	0.7062	3
Jesu	211	they	0.0991	116	0.5498	4
Jesu	211	of	0.1553	96	0.4550	5
Jew	7	of	1.2914	7	1.0000	1
Jew	7	the	0.5659	7	1.0000	2
Jew	7	jew	6.3348	5	0.7143	3
Jew	7	he	0.0463	5	0.7143	4
Jew	7	king	5.0128	4	0.5714	5
John	28	john	4.5978	25	0.8929	1
John	28	of	0.6540	18	0.6429	2
John	28	be	0.1180	16	0.5714	3
John	28	in	0.6813	10	0.3571	4
John	28	jame	4.0673	9	0.3214	5
Jordan	4	and	0.1908	4	1.0000	1
Jordan	4	from	3.2352	3	0.7500	2
Jordan	4	come	1.9026	3	0.7500	3
Jordan	4	unto	1.2352	3	0.7500	4
Jordan	4	of	0.8764	3	0.7500	5
Joseph	4	of	1.2914	4	1.0000	1
Joseph	4	the	0.5659	4	1.0000	2
Joseph	4	and	0.1908	4	1.0000	3
Joseph	4	he	0.1167	3	0.7500	4
Judas	4	he	0.5317	4	1.0000	1
Judas	4	and	0.1908	4	1.0000	2
Judas	4	of	0.8764	3	0.7500	3
Judas	4	they	0.5472	3	0.7500	4
Judas	4	the	0.1509	3	0.7500	5
Judea	4	they	0.9622	4	1.0000	1
Judea	4	he	0.5317	4	1.0000	2
Judea	4	unto	1.2352	3	0.7500	3
Judea	4	of	0.8764	3	0.7500	4
Judea	4	be	0.5103	3	0.7500	5
Ka	19	say	1.2560	17	0.8947	1
Ka	19	and	0.0304	17	0.8947	2
Ka	19	be	0.4848	14	0.7368	3
Ka	19	you	1.3031	13	0.6842	4
Ka	19	the	0.0184	13	0.6842	5
Kei	12	say	0.6388	7	0.5833	1
Kei	12	by	2.7613	6	0.5000	2
