kc_word	kc_freq	eng_gloss	pmi_score	pair_count	confidence	rank
Aa	198	meat	2.4169	8	6.8359	1
Aa	198	fil	2.2242	7	5.8847	2
Aa	198	afraid	2.5164	5	5.6268	3
Aa	198	seven	2.1087	7	5.5792	4
Aa	198	break	2.3977	5	5.3615	5
Aaning	223	prophet	1.6834	14	6.2988	1
Aaning	223	beast	2.1298	8	6.0241	2
Aaning	223	sword	2.4297	5	5.4331	3
Aaning	223	bread	1.7307	7	4.5791	4
Aaning	223	long	1.7830	6	4.3674	5
Abraham	84	abraham	6.5164	64	52.1311	1
Abraham	84	isaac	6.0913	13	21.9625	2
Abraham	84	se	4.7672	15	18.4634	3
Abraham	84	jacob	5.2978	10	16.7530	4
Abraham	84	promise	4.4539	13	16.0587	5
Abui	23	king	4.5365	7	12.0023	1
Abui	23	lord	1.8793	7	4.9723	2
Abui	23	god	0.5311	5	1.1806	3
Abuipaw	524	lord	3.4325	468	74.2562	1
Abuipaw	524	lord'	3.5327	13	12.7372	2
Abuipaw	524	almighty	3.5571	7	9.4112	3
Abuipaw	524	david	1.9477	13	7.0225	4
Abuipaw	524	name	1.3262	28	7.0174	5
Adam	9	adam	9.7832	7	25.8839	1
Agripa	15	agrippa	9.0462	12	31.3370	1
Agripa	15	king	5.6677	10	17.9229	2
Agripa	15	festu	7.7832	5	17.4037	3
Agripa	15	man	1.2635	5	2.8254	4
Ahning	8	last	6.9531	6	17.0316	1
Ahohmai	45	whosoever	4.2440	10	13.4208	1
Ahohmai	45	man	1.8802	23	9.0172	2
Ahohmai	45	receive	2.6747	5	5.9807	3
Ahohmai	45	person	1.8232	5	4.0768	4
Ahohmai	45	thi	0.2305	5	0.5154	5
Ahomaw	30	jesu	0.9847	7	2.6054	1
Ahomaw	30	thi	0.8155	5	1.8235	2
Ahotahmai	23	man	2.7173	21	12.4521	1
Ahotahmai	23	see	1.9191	6	4.7008	2
Ahotahmai	23	jesu	0.8826	5	1.9737	3
Akhaia	9	achaia	9.4937	9	28.4810	1
Akuila	7	aquila	10.1458	6	24.8519	1
Akuila	7	priscilla	10.1458	5	22.6866	2
Alekzandar	5	alexander	10.6312	5	23.7720	1
Alfas	5	alphæu	10.6312	5	23.7720	1
Alfas	5	son	4.4533	5	9.9578	2
Alui	36	earth	5.0742	26	25.8736	1
Alui	36	heaven	3.2539	11	10.7921	2
Ama	685	god	0.5416	150	6.5942	1
Ama	685	disease	2.6587	6	6.5124	2
Ama	685	amen	1.7258	14	6.4573	3
Ama	685	dominion	2.5331	6	6.2049	4
Ama	685	believe	1.1310	28	5.9849	5
Amen	30	amen	7.3384	30	40.1940	1
Amen	30	glory	4.4157	13	15.9212	2
Amen	30	grace	3.7243	6	9.1226	3
Amen	30	christ	2.4750	11	8.2086	4
Amen	30	write	2.9169	6	7.1450	5
Ananias	13	anania	9.2527	10	29.2595	1
Andru	13	andrew	9.2527	12	32.0522	1
Andru	13	simon	6.5522	10	20.7200	2
Andru	13	jame	6.5897	6	16.1414	3
Andru	13	philip	6.5746	5	14.7012	4
Andru	13	john	4.8376	6	11.8497	5
Antiok	24	antioch	8.3681	18	35.5030	1
Antiok	24	barnaba	5.9352	5	13.2715	2
Antiok	24	church	3.8699	5	8.6533	3
Apaw	9	father	4.2714	8	12.0814	1
Apolo	10	apollo	9.6312	9	28.8935	1
Apolo	10	paul	4.6863	5	10.4789	2
Apostol	16	apostle	6.2628	11	20.7713	1
Aramaik	8	hebrew	8.9531	7	23.6877	1
Aristarka	5	aristarchu	10.6312	5	23.7720	1
Artimi	5	diana	10.6312	5	23.7720	1
Asia	20	asia	8.4792	18	35.9741	1
Athen	6	athen	9.8827	5	22.0984	1
Ato	28	time	2.9131	5	6.5139	1
Ato	28	thi	1.1780	6	2.8856	2
Ato	28	god	0.2473	5	0.5497	3
Atochai	9	generation	7.1202	6	17.4409	1
Atochai	9	thi	3.4004	9	10.2013	2
Atoheh	51	see	1.6447	11	5.4549	1
Atoheh	51	brother	1.2762	5	2.8536	2
Atoheh	51	son	1.1028	5	2.4659	3
Atoheh	51	know	0.9114	6	2.2326	4
Atoheh	51	thi	0.7280	8	2.0591	5
Atoning	18	day	3.7055	13	13.3605	1
Atoning	18	voice	4.1509	5	9.2817	2
Atoning	18	thi	1.5524	5	3.4714	3
Avai	10	heaven	4.2275	6	10.3551	1
Babilon	11	babylon	9.4937	11	31.4870	1
Babilon	11	great	3.8888	6	9.5256	2
Baptisma	17	baptist	7.3802	5	16.5027	1
Baptisma	17	john	5.1876	10	16.4045	2
Baraba	12	barabba	9.3681	10	29.6247	1
Baraba	12	jesu	1.8212	5	4.0724	2
Barnaba	39	barnaba	7.6677	27	39.8426	1
Barnaba	39	saul	5.7291	6	14.0334	2
Barnaba	39	antioch	5.8197	5	13.0133	3
Barnaba	39	paul	3.8603	11	12.8033	4
Barnaba	39	church	3.1695	5	7.0871	5
Behnah	12	temple	5.7832	9	17.3495	1
Belzabub	7	beelzebub	10.1458	7	26.8431	1
Belzabub	7	devil	6.0725	6	14.8745	2
Belzabub	7	cast	5.3298	6	13.0554	3
Bethani	12	bethany	9.3681	11	31.0706	1
Bethlehem	8	bethlehem	9.9531	8	28.1516	1
Bethsaida	7	bethsaida	10.1458	7	26.8431	1
Bia	33	word	3.2133	11	10.6574	1
Bia	33	speak	2.0543	7	5.4351	2
Bia	33	thing	1.2199	6	2.9881	3
Bia	33	god	0.2733	6	0.6655	4
Biahmuisui	90	verily	5.9816	71	50.4022	1
Biahmuisui	90	truth	3.6133	15	13.9941	2
Biahmuisui	90	till	4.0827	10	12.9108	3
Biahmuisui	90	kingdom	2.8949	13	10.4377	4
Biahmuisui	90	generation	3.5353	5	7.9051	5
Biapeh	7	commandment	6.5956	7	17.4502	1
Buipaw	106	lord	3.4970	99	34.7946	1
Buipaw	106	christ	3.2820	68	27.0639	2
Buipaw	106	jesu	2.5658	74	22.0720	3
Buipaw	106	grace	3.4882	18	14.7993	4
Buipaw	106	amen	3.6105	8	10.2120	5
Cai	16	little	4.6312	5	10.3556	1
Cai	16	time	3.7204	5	8.3192	2
Caichangnah	5	last	7.3681	5	16.4757	1
Cang	35	forbid	5.9658	8	16.8739	1
Cang	35	god	1.0629	11	3.5045	2
Cang	35	thi	0.5931	5	1.3262	3
Canghrasala	745	nevertheless	2.7599	21	12.6476	1
Canghrasala	745	howbeit	2.5889	13	9.3344	2
Canghrasala	745	notwithstand	2.8815	9	8.6445	3
Canghrasala	745	rebuk	2.2600	9	6.7800	4
Canghrasala	745	know	0.6866	75	5.9464	5
Canu	25	woman	4.9669	14	18.5843	1
Canu	25	man	0.7896	6	1.9341	2
Canuno	17	woman	5.1753	11	17.1646	1
Canuno	17	jesu	1.5818	6	3.8746	2
Capathai	122	scripture	5.9658	50	42.1845	1
Capathai	122	write	3.8627	47	26.4814	2
Capathai	122	fulfil	3.5731	13	12.8829	3
Capathai	122	stone	2.3219	5	5.1920	4
Capathai	122	believ	2.0224	6	4.9538	5
Capaw	8	man	2.4335	6	5.9608	1
Cawngpahtu	53	master	6.4133	45	43.0214	1
Cawngpahtu	53	rabbi	6.7398	5	15.0706	2
Cawngpahtu	53	answer	2.6457	11	8.7748	3
Cawngpahtu	53	disciple	2.4064	9	7.2193	4
Cawngpahtu	53	ask	2.8215	6	6.9111	5
Cawngsaw	230	son	3.0835	89	29.0897	1
Cawngsaw	230	man	2.2509	152	27.7515	2
Cawngsaw	230	multitude	2.4536	17	10.1165	3
Cawngsaw	230	palsy	3.7291	5	8.3385	4
Cawngsaw	230	betray	2.9377	8	8.3090	5
Cawngsawno	9	woman	5.2184	6	12.7824	1
Cawngsawno	9	jesu	2.2363	5	5.0005	2
Cawngsawpaw	16	certain	4.2089	5	9.4115	1
Cawngsawpaw	16	man	2.4335	12	8.4298	2
Chahlynah	11	evil	5.7688	9	17.3063	1
Chahnah	5	good	4.9033	5	10.9640	1
Chaizaw	7	eternal	7.2713	6	17.8109	1
Chaizaw	7	life	5.0331	5	11.2542	2
Cingpa	9	uncircumcision	8.2978	5	18.5543	1
Cingpa	9	circumcision	7.1509	5	15.9899	2
Cungnungcai	20	high	5.7770	13	20.8294	1
Cungnungcai	20	right	4.9531	5	11.0755	2
Cungnungcai	20	power	3.6957	5	8.2639	3
Cungnungcai	20	hand	3.2561	6	7.9759	4
Cungnungcai	20	son	2.9387	7	7.7750	5
Damaska	15	damascu	9.0462	15	35.0358	1
David	58	david	7.0951	51	50.6693	1
David	58	son	3.1802	24	15.5799	2
David	58	mercy	4.4322	9	13.2965	3
David	58	cry	3.8171	10	12.0709	4
David	58	rais	3.6622	5	8.1888	5
De	8	peace	6.0600	7	16.0333	1
Denah	10	peace	6.2527	10	19.7727	1
Dingnah	7	righteousness	6.0082	5	13.4348	1
Donah	12	love	4.1266	6	10.1080	1
Dopaw	19	love	4.3381	11	14.3877	1
Dopaw	19	little	4.8687	7	12.8813	2
Dopaw	19	child	3.8543	7	10.1976	3
Dopaw	19	god	1.2922	7	3.3987	4
Efesa	20	ephesu	8.6312	17	35.5873	1
Efesa	20	paul	3.6863	5	8.2429	2
Elija	29	elia	8.0462	29	43.3302	1
Elija	29	mose	4.4322	6	10.8565	2
Elija	29	three	4.3727	5	9.7776	3
Elija	29	prophet	3.6264	7	9.5944	4
Elija	29	answer	2.8636	7	7.5763	5
Elizabet	10	elisabeth	9.6312	7	25.4817	1
Esi	5	star	8.2527	5	18.4535	1
Farasi	90	pharisee	6.3815	88	59.8640	1
Farasi	90	scribe	4.8092	21	22.0384	2
Farasi	90	sadducee	5.8238	9	17.4715	3
Farasi	90	woe	4.5868	9	13.7603	4
Farasi	90	hypocrite	4.9467	7	13.0877	5
Farasipaw	8	pharisee	5.7359	5	12.8258	1
Felik	10	felix	9.6312	8	27.2411	1
Festa	14	festu	9.1458	12	31.6818	1
Festa	14	agrippa	7.8827	5	17.6263	2
Festa	14	paul	4.2009	5	9.3935	3
Festa	14	man	1.3631	5	3.0479	4
Filip	34	philip	7.8656	32	44.4948	1
Filip	34	andrew	6.6026	5	14.7639	2
Filip	34	see	1.5776	7	4.1739	3
Filip	34	jesu	1.3187	10	4.1702	4
Filip	34	brother	1.8611	5	4.1616	5
Filipi	7	philippi	9.7307	6	23.8353	1
Galili	78	galilee	6.6453	64	53.1627	1
Galili	78	galilæan	6.6677	7	17.6411	2
Galili	78	judæa	4.8264	12	16.7191	3
Galili	78	sea	3.6514	11	12.1103	4
Galili	78	jordan	5.0827	5	11.3654	5
Gental	100	gentile	6.0555	78	53.4807	1
Gental	100	circumcision	4.5250	9	13.5749	2
Gental	100	jew	3.0653	19	13.3614	3
Gental	100	gospel	2.7394	8	7.7482	4
Gental	100	salvation	3.2049	5	7.1664	5
Grik	29	greek	7.7166	20	34.5097	1
Grik	29	jew	4.1882	12	14.5085	2
Grik	29	woman	3.2673	5	7.3059	3
Grik	29	jesu	1.0337	7	2.7348	4
Grik	29	lord	1.0595	5	2.3691	5
Hebru	5	hebrew	9.1458	5	20.4505	1
Herod	54	herod	7.1982	39	44.9529	1
Herod	54	tetrarch	7.1982	5	16.0957	2
Herod	54	john	3.6576	11	12.1311	3
Herod	54	king	3.8197	10	12.0790	4
Herod	54	judæa	4.0939	5	9.1542	5
Herodi	8	herod	7.2527	6	17.7653	1
Hming	27	good	2.4703	5	5.5238	1
Hming	27	thing	1.9244	8	5.4431	2
Hming	27	man	0.6786	6	1.6622	3
Hmingchaw	8	good	4.4882	6	10.9938	1
Hosana	5	hosanna	10.6312	5	23.7720	1
Hringnah	17	life	5.3379	15	20.6736	1
Hruitupaw	5	master	6.6493	5	14.8683	1
Ikoniam	6	iconium	10.3681	6	25.3967	1
Ing	28	house	4.6333	17	19.1036	1
Ing	28	stone	4.4453	5	9.9400	2
Ing	28	enter	3.2485	5	7.2639	3
Ing	28	thi	1.5931	8	4.5059	4
Ing	28	man	0.3631	5	0.8119	5
Isaiah	23	esaia	8.4295	21	38.6290	1
Isaiah	23	prophet	4.8539	13	17.5008	2
Isaiah	23	fulfil	4.6017	5	10.2898	3
Isaiah	23	speak	2.5751	7	6.8131	4
Isaiah	23	lord	1.6570	6	4.0587	5
Isak	18	isaac	8.7007	17	35.8740	1
Isak	18	jacob	7.7832	12	26.9617	2
Isak	18	abraham	6.4392	13	23.2170	3
Isak	18	god	1.3702	7	3.6039	4
Iskariot	11	iscariot	9.4937	11	31.4870	1
Iskariot	11	juda	7.6312	11	25.3098	2
Iskariot	11	betray	6.9087	6	16.9228	3
Israel	85	israel	6.5036	71	54.8006	1
Israel	85	child	3.1334	19	13.6583	2
