candidate_id	topic	construction_id	directional_type	directional_form	construction_type	verse_id	reference	surface_span	token_indices	segmentation_span	gloss_span	lemma_span	pos_span	kjv	candidate_status	confidence	print_status	why_selected	why_excluded	manual_review_status	notes
dir_khia_gen2_5_pokhia	directionals	directional-khia-outward	outward	khia	verb_khia_out	01002005	Genesis 2:5	pokhia	30	po-khia	grow-out	po	V	and every plant of the field before it was in the earth, and every herb of the field before it grew: for the LORD God had not caused it to rain upon the earth, and there was not a man to till the ground.	accepted	high	print_ready	Genesis 2:5 gives a compact analyzer-backed `pokhia` row and is a clean first outward-directional anchor for the packet.		reviewed	Keep the selected span tight around the suffixed verb; do not treat every orthographic `khia` sequence as directional evidence.
dir_khiat_deut9_4_nawhkhiat	directionals	directional-khiat-away	away	khiat	verb_khiat_away	05009004	Deuteronomy 9:4	nawhkhiat	10	nawh-khiat	hurry-away	nawh	N	Speak not thou in thine heart, after that the LORD thy God hath cast them out from before thee, saying, For my righteousness the LORD hath brought me in to possess this land: but for the wickedness of these nations the LORD doth drive them out from before thee.	accepted_with_caveat	high	print_usable_with_caveat	Deuteronomy 9:4 gives a compact analyzer-backed `nawhkhiat` row and keeps `-khiat` visible through a verbal away-reading rather than only through report counts.	This first pass keeps `-khiat` construction-controlled rather than treating every `...khiat` token as interchangeable directional evidence.	reviewed	Use as the first away-directional anchor; separate nominalized `-khiat-na` material from finite-looking directional verbs when reviewing later prose.
dir_khiatna_exod14_13_hotkhiatna	directionals	directional-khiat-na-boundary	away	khiat	verb_khiat_away	02014013	Exodus 14:13	hotkhiatna	17	hot-khiat-na	save-away-NMLZ	hot	N	And Moses said unto the people, Fear ye not, stand still, and see the salvation of the LORD , which he will shew to you to day: for the Egyptians whom ye have seen to day, ye shall see them again no more for ever.	accepted_with_caveat	medium	print_usable_with_caveat	The generated directional report repeatedly points to `hotkhiatna`, and the analyzer confirms it as a real `-khiat-na` row worth keeping visible in the candidate layer.	This is nominalized `-khiat-na` material, so it should not be treated as identical to a finite directional verb without caveat.	reviewed	Nominalized directional boundary row: keep `-khiat-na` visible, but do not flatten it into the same category as simple finite directional predicates.
dir_toh_num9_17_kilaktoh	directionals	directional-toh-upward	upward	toh	verb_toh_up	04009017	Numbers 9:17	kilaktoh	6	ki-lak-toh	REFL-take-UP	lak	V	And when the cloud was taken up from the tabernacle, then after that the children of Israel journeyed: and in the place where the cloud abode, there the children of Israel pitched their tents.	accepted_with_caveat	high	print_usable_with_caveat	Numbers 9:17 gives a compact analyzer-backed `kilaktoh` row and keeps upward `-toh` visible through a construction already highlighted in the grammar report.	`-toh` is polysemous and overlaps with comitative or accompany material elsewhere, so this upward row cannot license raw `toh = UP` harvesting.	reviewed	Upward evidence with an explicit overlap caveat; pair it with a blocked comitative control rather than promoting `-toh` as always UP.
dir_tohna_deut32_50_kahtohna	directionals	directional-toh-na-boundary	upward	toh	verb_toh_up	05032050	Deuteronomy 32:50	kahtohna	14	kah-toh-na	climb-up-NMLZ	kah	V	and die in the mount whither thou goest up, and be gathered unto thy people; as Aaron thy brother died in mount Hor, and was gathered unto his people:	accepted_with_caveat	medium	print_usable_with_caveat	Deuteronomy 32:50 keeps nominalized upward `-toh-na` material visible in the same packet as the clean upward anchor.	This row is nominalized `kahtohna`, so it should not be treated as the same thing as a simple finite directional verb without caveat.	reviewed	Nominalized upward boundary row; keep `-toh-na` visible while still pairing it with a separate comitative blocker.
dir_toh_exod34_24_paitoh_overlap	directionals	directional-toh-comitative-overlap	comitative_overlap	toh	toh_comitative_overlap	02034024	Exodus 34:24	paitoh	35	pai-toh	go-accompany	pai	V	For I will cast out the nations before thee, and enlarge thy borders: neither shall any man desire thy land, when thou shalt go up to appear before the LORD thy God thrice in the year.	excluded	high	blocked	A `paitoh` overlap-control row is needed because analyzer tests already treat `paitoh` as lexicalized `go-accompany`, not as a simple upward directional.	This `paitoh` token is comitative or accompany material, so it must block any attempt to promote raw `-toh` as always UP.	reviewed	Explicit comitative/accompany blocker for the directionals packet.
dir_lam_gen30_9_tawplam	directionals	directional-lam-boundary	direction_manner	lam	lam_nominal_or_directional_boundary	01030009	Genesis 30:9	tawplam	5	tawp-lam	end-TOWARD	tawp	N	When Leah saw that she had left bearing, she took Zilpah her maid, and gave her Jacob to wife.	accepted_with_caveat	medium	not_print_ready	Genesis 30:9 gives a compact `tawplam` row and keeps `-lam` visible without pretending the packet already has a simple fully verbal directional suffix analysis.	`-lam` often behaves as side, manner, or directional-boundary material rather than as a straightforward clean verbal directional suffix, so this row stays caveated.	reviewed	Boundary evidence only: direction, side, or manner material should stay visible without turning `-lam` into a simple clean verbal directional entry.
dir_sawn_ezra9_9_piasawn	directionals	directional-sawn-toward	toward	sawn	verb_sawn_toward	15009009	Ezra 9:9	piasawn	185	pia-sawn	give-toward	pia	V	For we were bondmen; yet our God hath not forsaken us in our bondage, but hath extended mercy unto us in the sight of the kings of Persia, to give us a reviving, to set up the house of our God, and to repair the desolations thereof, and to give us a wall in Judah and in Jerusalem.	accepted_with_caveat	medium	print_usable_with_caveat	Ezra 9:9 gives an analyzer-backed `piasawn` row and is cleaner for a first toward-directional anchor than the kinship-heavy Luke 20:31 example.	Keep this construction-controlled: many easy `-sawn` hits are lexicalized, kinship-based, continuative, or otherwise non-directional.	reviewed	Toward evidence with lexical-boundary caution; do not let `-sawn` spill into all continuative or kinship-looking material.
dir_lut_1sam5_6_uilut_boundary	directionals	directional-lut-boundary	inward	lut	verb_lut_in	09005006	1 Samuel 5:6	uilut	10	ui-lut	dog-enter	ui	V	But the hand of the LORD was heavy upon them of Ashdod, and he destroyed them, and smote them with emerods, even Ashdod and the coasts thereof.	deferred	low	not_print_ready	`-lut` is analyzer-listed as a directional suffix, so the packet needs one explicit corpus-backed row showing what the easy export currently gives.	The easiest analyzer-backed `uilut` row is not yet a clean print-safe inward directional anchor for publication-review prose.	needs_followup	Analyzer-listed but not yet candidate-backed with a clean publication-review anchor; keep `-lut` deferred until a clearer inward corpus row is chosen.
dir_suk_gen11_5_paisuk	directionals	directional-suk-downward	downward	suk	verb_suk_down	01011005	Genesis 11:5	paisuk	12	pai-suk	go-DOWN	pai	V	And the LORD came down to see the city and the tower, which the children of men builded.	accepted_with_caveat	high	print_usable_with_caveat	Genesis 11:5 gives a compact analyzer-backed `paisuk` row and is an easy first downward-directional anchor for the packet.	Keep the row construction-controlled even though analyzer tests recognize `-suk`; this packet is still a narrow candidate layer rather than a broad VP-slot sweep.	reviewed	Clean downward evidence is available, but later prose should still distinguish true directional `-suk` from lexicalized or non-directional lookalikes.
dir_phei_ezek41_6_paiphei_boundary	directionals	directional-phei-boundary	horizontal	phei	verb_phei_horizontal	26041006	Ezekiel 41:6	paiphei	10	pai-phei	go-enter	pai	V	And the side chambers were three, one over another, and thirty in order; and they entered into the wall which was of the house for the side chambers round about, that they might have hold, but they had not hold in the wall of the house.	deferred	low	not_print_ready	Analyzer unit tests list `-phei` as directional, so the packet keeps one analyzer-backed corpus row visible instead of silently dropping the form.	The easiest corpus-backed `paiphei` row currently glosses as `go-enter`, not as a clean horizontal directional, so it is not yet print-safe evidence.	needs_followup	Keep deferred until a clearer horizontal corpus row is selected; do not promote analyzer unit-test inventory alone into publication-review prose.
dir_cip_deut28_52_cip_boundary	directionals	directional-cip-boundary	deferred	cip	analyzer_noise	05028052	Deuteronomy 28:52	cip	17	cip	tight	cip	N	And he shall besiege thee in all thy gates, until thy high and fenced walls come down, wherein thou trustedst, throughout all thy land: and he shall besiege thee in all thy gates throughout all thy land, which the LORD thy God hath given thee.	deferred	low	blocked	The generated report surfaces `-cip`, so the first packet keeps one analyzer-backed corpus token visible rather than relying on report-level discovery wording alone.	This row is lexical `cip = tight`, not a clean downward directional candidate, so `-cip` remains deferred in the packet.	needs_followup	Report-visible but not candidate-backed as directional evidence in the current packet.
