example_id	demonstrative_topic	candidate_form	construction_type	source_reference	source_zone	tedim_text	segmentation	gloss	translation	example_quality	print_status	why_selected	caveat
ex:dem-hih	core_demonstratives	hih	identificational_pronominal	Genesis 5:1	OT	Hih pen Adam' suanlekhakte' laibu ahi hi	hih | pen | Adam' | suan-lekhak-te' | laibu | ahi | hi	PROX | TOP | Adam.POSS | descendant-record-PL.POSS | book | be.3SG | DECL	This is the book of the generations of Adam.	high	print_ready	Clean proximal core demonstrative in a presentational clause.	None.
ex:dem-tua	core_demonstratives	tua	adnominal_distal	Matthew 1:21	Gospel	tua tapa in ama mite a mawhna uh panin honkhia ding ahih manin	tua | tapa | in | ama | mi-te | a | mawhna | uh | panin | hon-khia | ding | ahih | manin	DIST | child | ERG | 3SG | person-PL | GEN | sin | PL | from | save-out | IRR | be.REL | because	Because that child will save his people from their sins.	high	print_ready	Gospel anchor for distal/anaphoric adnominal tua.	None.
ex:dem-hihte	plural_demonstratives	hihte	plural_demonstrative_pronominal	Genesis 10:20	OT	Hihte pen a innkuan, a kam pau, a leitang, a minamin Ham' suanlekhakte ahi hi	hihte | pen | a | innkuan | a | kam | pau | a | leitang | a | minam-in | Ham' | suan-lekhak-te | ahi | hi	PROX-PL | TOP | 3SG | family | 3SG | language | speak | 3SG | land | 3SG | nation-ERG | Ham.POSS | descendant-record-PL | be.3SG | DECL	These are the descendants of Ham by their families, languages, lands, and nations.	high	print_ready	Clean proximal plural demonstrative in a declarative inventory frame.	None.
ex:dem-tuate	plural_demonstratives	tuate	plural_demonstrative_pronominal	Luke 6:14	Gospel	Tuate in: Simon (Peter ci-in min a phuah pa)...	tuate | in | Simon	DIST-PL | TOP | Simon	Those were: Simon (called Peter) ...	medium	print_ready	Clean Gospel distal plural demonstrative in list-introducing frame.	Elliptical list style; still transparent for demonstrative function.
ex:dem-adnominal-hih	adnominal_pronominal_boundary	hih	adnominal_demonstrative	Exodus 32:9	OT	Hih mite ka mu zo hi	hih | mi-te | ka | mu | zo | hi	PROX | person-PL | 1SG | see | COMPL | DECL	I have seen these people.	high	print_ready	Clear adnominal demonstrative before noun phrase head.	None.
ex:dem-pronominal-hihte	adnominal_pronominal_boundary	hihte	pronominal_demonstrative	Matthew 12:49	Gospel	Hihte pen ka nu le ka sanggamte ahi uh hi	hihte | pen | ka | nu | le | ka | sanggam-te | ahi | uh | hi	PROX-PL | TOP | 1SG.POSS | mother | and | 1SG.POSS | sibling-PL | be.3SG | PL | DECL	These are my mother and my brothers.	high	print_ready	Clear Gospel pronominal demonstrative predicate frame.	None.
ex:dem-tua-ciangin	discourse_temporal_deixis	tua ciangin	temporal_discourse_linker	Genesis 1:3	OT	tua ciangin khuavak om pah hi	tua | ciangin | khuavak | om | pah | hi	DIST | time.CVB | light | exist | immediately | DECL	Then light appeared at once.	high	print_ready	Canonical Old Testament temporal linker with demonstrative base.	None.
ex:dem-tua-ahih-ciangin	discourse_temporal_deixis	tua ahih ciangin	discourse_temporal_bridge	Matthew 28:19	Gospel	Tua ahih ciangin note pai unla...	tua | ahih | ciangin | note | pai | unla	DIST | be.REL | time.CVB | 2PL.PRO | go | IMP.PL-and	When that is so, you must go ...	high	print_ready	Gospel comparandum for discourse-temporal bridge construction.	None.
ex:dem-hih-bangin	manner_bangin	hih bangin	manner_deictic_construction	Matthew 6:9	Gospel	hih bangin na ngen un	hih | bangin | na | ngen | un	PROX | like.CVB | 2 | pray | IMP.PL	Pray like this.	high	print_ready	Clean Gospel manner construction with proximal demonstrative base.	None.
ex:dem-tua-bangin	manner_bangin	tua bangin	manner_deictic_construction	Exodus 14:30	OT	Topa in tua bangin Egypt mite' khutsung panin Israel-te honkhia hi	Topa | in | tua | bangin | Egypt | mi-te' | khut-sung | panin | Israel-te | hon-khia | hi	Lord | ERG | DIST | like.CVB | Egypt | person-PL.POSS | hand-inside | from | Israel-PL | save-out | DECL	Thus the Lord saved Israel from the hand of the Egyptians.	high	print_ready	Old Testament comparandum for distal manner/deictic construction.	None.
